Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,#NAME?,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53
744,name,name1844,Web,complete,insertValue,2019-03-07T21:50:42.142+11:00,surname,surname1844,Web,complete,insertValue,2019-03-07T21:50:58.182+11:00,age,29,Web,complete,insertValue,2019-03-07T21:51:01.952+11:00,2,type,Web,complete,insertValue,2019-03-07T21:51:15.070+11:00,B1,Web,complete,clickButton,2019-03-07T21:51:25.395+11:00,insertValue,B,1827,Excel,27,complete,2019-03-07T21:51:29.814+11:00,Web,complete,goToUrl,2019-03-07T21:51:38.164+11:00,www.webpage2.com,value2,value1827,Web,complete,copy,2019-03-07T21:51:44.595+11:00,finalCode,vaue1827,Web,complete,paste
745,name,name1916,Web,complete,insertValue,2019-03-07T21:52:00.710+11:00,surname,surname1916,Web,complete,insertValue,2019-03-07T21:52:11.434+11:00,age,40,Web,complete,insertValue,2019-03-07T21:52:16.720+11:00,2,type,Web,complete,insertValue,2019-03-07T21:52:28.535+11:00,B1,Web,complete,clickButton,2019-03-07T21:52:30.856+11:00,insertValue,B,3127,Excel,11,complete,2019-03-07T21:52:34.153+11:00,Web,complete,goToUrl,2019-03-07T21:52:46.345+11:00,www.webpage2.com,value2,value3127,Web,complete,copy,2019-03-07T21:52:58.079+11:00,paste,C,vaue3127,Excel,2
746,name,name266,Web,complete,insertValue,2019-03-07T21:53:12.901+11:00,surname,surname266,Web,complete,insertValue,2019-03-07T21:53:16.855+11:00,age,29,Web,complete,insertValue,2019-03-07T21:53:24.283+11:00,4,type,Web,complete,insertValue,2019-03-07T21:53:32.154+11:00,B4,Web,complete,clickButton,2019-03-07T21:53:33.308+11:00,Web,complete,goToUrl,2019-03-07T21:53:35.867+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T21:53:38.011+11:00,valueX,valuex266,Web,complete,insertValue,2019-03-07T21:53:45.299+11:00,OK,Web,complete,clickButton,2019-03-07T21:53:47.151+11:00,,
747,name,name217,Web,complete,insertValue,2019-03-07T21:53:57.151+11:00,surname,surname217,Web,complete,insertValue,2019-03-07T21:54:05.304+11:00,age,20,Web,complete,insertValue,2019-03-07T21:54:14.425+11:00,1,type,Web,complete,insertValue,2019-03-07T21:54:21.159+11:00,B1,Web,complete,clickButton,2019-03-07T21:54:28.934+11:00,insertValue,B,4986,Excel,33,complete,2019-03-07T21:54:32.086+11:00,Web,complete,goToUrl,2019-03-07T21:54:44.639+11:00,www.webpage2.com,value2,value4986,Web,complete,copy,2019-03-07T21:54:52.113+11:00,finalCode,vaue4986,Web,complete,paste
748,name,name1259,Web,complete,insertValue,2019-03-07T21:55:06.332+11:00,surname,surname1259,Web,complete,insertValue,2019-03-07T21:55:25.498+11:00,age,19,Web,complete,insertValue,2019-03-07T21:55:38.616+11:00,2,type,Web,complete,insertValue,2019-03-07T21:55:44.566+11:00,B1,Web,complete,clickButton,2019-03-07T21:55:44.566+11:00,insertValue,B,2232,Excel,40,complete,2019-03-07T21:55:47.416+11:00,Web,complete,goToUrl,2019-03-07T21:55:57.957+11:00,www.webpage2.com,value2,value2232,Web,complete,copy,2019-03-07T21:56:02.060+11:00,finalCode,vaue2232,Web,complete,paste
749,name,name678,Web,complete,insertValue,2019-03-07T21:56:18.762+11:00,surname,surname678,Web,complete,insertValue,2019-03-07T21:56:25.381+11:00,age,41,Web,complete,insertValue,2019-03-07T21:56:25.381+11:00,4,type,Web,complete,insertValue,2019-03-07T21:56:38.215+11:00,B4,Web,complete,clickButton,2019-03-07T21:56:43.864+11:00,Web,complete,goToUrl,2019-03-07T21:56:46.075+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T21:56:48.559+11:00,valueX,valuex678,Web,complete,insertValue,2019-03-07T21:56:56.507+11:00,OK,Web,complete,clickButton,2019-03-07T21:56:57.659+11:00,,
750,name,name1654,Web,complete,insertValue,2019-03-07T21:57:07.659+11:00,surname,surname1654,Web,complete,insertValue,2019-03-07T21:57:30.737+11:00,age,19,Web,complete,insertValue,2019-03-07T21:57:38.143+11:00,1,type,Web,complete,insertValue,2019-03-07T21:57:41.163+11:00,B1,Web,complete,clickButton,2019-03-07T21:57:41.163+11:00,insertValue,B,1508,Excel,28,complete,2019-03-07T21:57:44.941+11:00,Web,complete,goToUrl,2019-03-07T21:57:51.590+11:00,www.webpage2.com,value2,value1508,Web,complete,copy,2019-03-07T21:57:52.358+11:00,finalCode,vaue1508,Web,complete,paste
751,name,name2998,Web,complete,insertValue,2019-03-07T21:58:06.585+11:00,surname,surname2998,Web,complete,insertValue,2019-03-07T21:58:10.331+11:00,age,31,Web,complete,insertValue,2019-03-07T21:58:19.044+11:00,4,type,Web,complete,insertValue,2019-03-07T21:58:31.567+11:00,B4,Web,complete,clickButton,2019-03-07T21:58:31.567+11:00,Excel,complete,openFile,Sheet1,2019-03-07T21:58:33.617+11:00,data123.xls,2157,Excel,complete,findValue,TRUE,2019-03-07T21:58:37.653+11:00,copy,B,value2998,Excel,1,complete,2019-03-07T21:58:39.661+11:00,paste,C,vaue2998,Excel
752,name,name410,Web,complete,insertValue,2019-03-07T21:58:56.418+11:00,surname,surname410,Web,complete,insertValue,2019-03-07T21:59:06.558+11:00,age,28,Web,complete,insertValue,2019-03-07T21:59:19.648+11:00,4,type,Web,complete,insertValue,2019-03-07T21:59:32.713+11:00,B4,Web,complete,clickButton,2019-03-07T21:59:33.751+11:00,Web,complete,goToUrl,2019-03-07T21:59:36.105+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T21:59:38.197+11:00,valueX,valuex410,Web,complete,insertValue,2019-03-07T21:59:51.149+11:00,OK,Web,complete,clickButton,2019-03-07T21:59:54.328+11:00,,
753,name,name2943,Web,complete,insertValue,2019-03-07T22:00:04.328+11:00,surname,surname2943,Web,complete,insertValue,2019-03-07T22:00:07.350+11:00,age,21,Web,complete,insertValue,2019-03-07T22:00:21.947+11:00,4,type,Web,complete,insertValue,2019-03-07T22:00:26.780+11:00,B4,Web,complete,clickButton,2019-03-07T22:00:33.182+11:00,Excel,complete,openFile,Sheet1,2019-03-07T22:00:35.152+11:00,data123.xls,3241,Excel,complete,findValue,TRUE,2019-03-07T22:00:37.135+11:00,copy,B,value2943,Excel,1,complete,2019-03-07T22:00:40.858+11:00,finalCode,vaue2943,Web,complete
754,name,name1242,Web,complete,insertValue,2019-03-07T22:00:56.072+11:00,surname,surname1242,Web,complete,insertValue,2019-03-07T22:01:04.301+11:00,age,34,Web,complete,insertValue,2019-03-07T22:01:12.292+11:00,1,type,Web,complete,insertValue,2019-03-07T22:01:12.591+11:00,B1,Web,complete,clickButton,2019-03-07T22:01:28.282+11:00,insertValue,B,1759,Excel,37,complete,2019-03-07T22:01:29.763+11:00,Web,complete,goToUrl,2019-03-07T22:01:44.819+11:00,www.webpage2.com,value2,value1759,Web,complete,copy,2019-03-07T22:01:45.955+11:00,finalCode,vaue1759,Web,complete,paste
755,name,name640,Web,complete,insertValue,2019-03-07T22:02:02.451+11:00,surname,surname640,Web,complete,insertValue,2019-03-07T22:02:10.781+11:00,age,27,Web,complete,insertValue,2019-03-07T22:02:13.189+11:00,2,type,Web,complete,insertValue,2019-03-07T22:02:20.168+11:00,B1,Web,complete,clickButton,2019-03-07T22:02:24.536+11:00,insertValue,B,4170,Excel,11,complete,2019-03-07T22:02:27.187+11:00,Web,complete,goToUrl,2019-03-07T22:02:35.518+11:00,www.webpage2.com,value2,value4170,Web,complete,copy,2019-03-07T22:02:47.763+11:00,paste,C,vaue4170,Excel,2
756,name,name452,Web,complete,insertValue,2019-03-07T22:03:05.562+11:00,surname,surname452,Web,complete,insertValue,2019-03-07T22:03:20.302+11:00,age,25,Web,complete,insertValue,2019-03-07T22:03:24.365+11:00,1,type,Web,complete,insertValue,2019-03-07T22:03:36.929+11:00,B1,Web,complete,clickButton,2019-03-07T22:03:42.270+11:00,insertValue,B,1397,Excel,12,complete,2019-03-07T22:03:44.500+11:00,Web,complete,goToUrl,2019-03-07T22:03:54.322+11:00,www.webpage2.com,value2,value1397,Web,complete,copy,2019-03-07T22:04:09.386+11:00,paste,C,vaue1397,Excel,2
757,name,name2426,Web,complete,insertValue,2019-03-07T22:04:25.422+11:00,surname,surname2426,Web,complete,insertValue,2019-03-07T22:04:33.757+11:00,age,29,Web,complete,insertValue,2019-03-07T22:04:42.429+11:00,3,type,Web,complete,insertValue,2019-03-07T22:04:49.835+11:00,B4,Web,complete,clickButton,2019-03-07T22:05:00.641+11:00,Web,complete,goToUrl,2019-03-07T22:05:01.744+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T22:05:04.440+11:00,valueX,valuex2426,Web,complete,insertValue,2019-03-07T22:05:07.220+11:00,Cancel,Web,complete,clickButton,2019-03-07T22:05:10.727+11:00,,
758,name,name28,Web,complete,insertValue,2019-03-07T22:05:20.727+11:00,surname,surname28,Web,complete,insertValue,2019-03-07T22:05:30.962+11:00,age,26,Web,complete,insertValue,2019-03-07T22:05:34.112+11:00,3,type,Web,complete,insertValue,2019-03-07T22:05:36.532+11:00,B4,Web,complete,clickButton,2019-03-07T22:05:47.113+11:00,Excel,complete,openFile,Sheet1,2019-03-07T22:05:50.315+11:00,data123.xls,1863,Excel,complete,findValue,FALSE,2019-03-07T22:05:54.402+11:00,copy,B,value28,Excel,1,complete,2019-03-07T22:05:56.286+11:00,finalCode,vaue28,Web,complete
759,name,name2973,Web,complete,insertValue,2019-03-07T22:06:09.764+11:00,surname,surname2973,Web,complete,insertValue,2019-03-07T22:06:19.912+11:00,age,45,Web,complete,insertValue,2019-03-07T22:06:28.469+11:00,1,type,Web,complete,insertValue,2019-03-07T22:06:32.219+11:00,B1,Web,complete,clickButton,2019-03-07T22:06:43.964+11:00,insertValue,B,2508,Excel,26,complete,2019-03-07T22:06:47.168+11:00,Web,complete,goToUrl,2019-03-07T22:07:01.495+11:00,www.webpage2.com,value2,value2508,Web,complete,copy,2019-03-07T22:07:10.492+11:00,paste,C,vaue2508,Excel,2
760,name,name2935,Web,complete,insertValue,2019-03-07T22:07:28.596+11:00,surname,surname2935,Web,complete,insertValue,2019-03-07T22:07:33.953+11:00,age,18,Web,complete,insertValue,2019-03-07T22:08:00.393+11:00,3,type,Web,complete,insertValue,2019-03-07T22:08:17.598+11:00,B4,Web,complete,clickButton,2019-03-07T22:08:22.008+11:00,Web,complete,goToUrl,2019-03-07T22:08:25.184+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T22:08:28.371+11:00,valueX,valuex2935,Web,complete,insertValue,2019-03-07T22:08:34.679+11:00,Cancel,Web,complete,clickButton,2019-03-07T22:08:38.568+11:00,,
761,name,name1684,Web,complete,insertValue,2019-03-07T22:08:48.568+11:00,surname,surname1684,Web,complete,insertValue,2019-03-07T22:08:57.590+11:00,age,18,Web,complete,insertValue,2019-03-07T22:09:03.277+11:00,3,type,Web,complete,insertValue,2019-03-07T22:09:07.328+11:00,B4,Web,complete,clickButton,2019-03-07T22:09:16.414+11:00,Excel,complete,openFile,Sheet1,2019-03-07T22:09:20.276+11:00,data123.xls,4429,Excel,complete,findValue,FALSE,2019-03-07T22:09:23.091+11:00,copy,B,value1684,Excel,1,complete,2019-03-07T22:09:25.737+11:00,finalCode,vaue1684,Web,complete
762,name,name2527,Web,complete,insertValue,2019-03-07T22:09:40.612+11:00,surname,surname2527,Web,complete,insertValue,2019-03-07T22:09:40.612+11:00,age,19,Web,complete,insertValue,2019-03-07T22:10:00.865+11:00,4,type,Web,complete,insertValue,2019-03-07T22:10:09.865+11:00,B4,Web,complete,clickButton,2019-03-07T22:10:24.563+11:00,Excel,complete,openFile,Sheet1,2019-03-07T22:10:26.029+11:00,data123.xls,4721,Excel,complete,findValue,FALSE,2019-03-07T22:10:28.242+11:00,copy,B,value2527,Excel,1,complete,2019-03-07T22:10:30.785+11:00,paste,C,vaue2527,Excel
763,name,name613,Web,complete,insertValue,2019-03-07T22:10:46.394+11:00,surname,surname613,Web,complete,insertValue,2019-03-07T22:10:46.394+11:00,age,27,Web,complete,insertValue,2019-03-07T22:10:54.751+11:00,2,type,Web,complete,insertValue,2019-03-07T22:11:05.410+11:00,B1,Web,complete,clickButton,2019-03-07T22:11:11.182+11:00,insertValue,B,1047,Excel,29,complete,2019-03-07T22:11:14.525+11:00,Web,complete,goToUrl,2019-03-07T22:11:18.587+11:00,www.webpage2.com,value2,value1047,Web,complete,copy,2019-03-07T22:11:24.312+11:00,finalCode,vaue1047,Web,complete,paste
764,name,name2170,Web,complete,insertValue,2019-03-07T22:11:41.422+11:00,surname,surname2170,Web,complete,insertValue,2019-03-07T22:11:42.425+11:00,age,29,Web,complete,insertValue,2019-03-07T22:11:49.857+11:00,4,type,Web,complete,insertValue,2019-03-07T22:11:54.735+11:00,B4,Web,complete,clickButton,2019-03-07T22:12:06.670+11:00,Excel,complete,openFile,Sheet1,2019-03-07T22:12:09.599+11:00,data123.xls,4542,Excel,complete,findValue,TRUE,2019-03-07T22:12:12.680+11:00,copy,B,value2170,Excel,1,complete,2019-03-07T22:12:16.036+11:00,finalCode,vaue2170,Web,complete
765,name,name879,Web,complete,insertValue,2019-03-07T22:12:32.554+11:00,surname,surname879,Web,complete,insertValue,2019-03-07T22:12:48.159+11:00,age,24,Web,complete,insertValue,2019-03-07T22:12:54.143+11:00,4,type,Web,complete,insertValue,2019-03-07T22:13:06.641+11:00,B4,Web,complete,clickButton,2019-03-07T22:13:14.081+11:00,Excel,complete,openFile,Sheet1,2019-03-07T22:13:15.807+11:00,data123.xls,4686,Excel,complete,findValue,FALSE,2019-03-07T22:13:20.884+11:00,copy,B,value879,Excel,1,complete,2019-03-07T22:13:24.343+11:00,paste,C,vaue879,Excel
766,name,name2564,Web,complete,insertValue,2019-03-07T22:13:41.617+11:00,surname,surname2564,Web,complete,insertValue,2019-03-07T22:13:49.675+11:00,age,18,Web,complete,insertValue,2019-03-07T22:13:56.168+11:00,4,type,Web,complete,insertValue,2019-03-07T22:13:57.570+11:00,B4,Web,complete,clickButton,2019-03-07T22:14:06.337+11:00,Excel,complete,openFile,Sheet1,2019-03-07T22:14:09.175+11:00,data123.xls,2509,Excel,complete,findValue,FALSE,2019-03-07T22:14:14.131+11:00,copy,B,value2564,Excel,1,complete,2019-03-07T22:14:17.059+11:00,finalCode,vaue2564,Web,complete
767,name,name198,Web,complete,insertValue,2019-03-07T22:14:31.729+11:00,surname,surname198,Web,complete,insertValue,2019-03-07T22:14:37.691+11:00,age,28,Web,complete,insertValue,2019-03-07T22:14:48.706+11:00,3,type,Web,complete,insertValue,2019-03-07T22:15:05.177+11:00,B4,Web,complete,clickButton,2019-03-07T22:15:19.444+11:00,Excel,complete,openFile,Sheet1,2019-03-07T22:15:23.118+11:00,data123.xls,4431,Excel,complete,findValue,TRUE,2019-03-07T22:15:27.336+11:00,copy,B,value198,Excel,1,complete,2019-03-07T22:15:29.761+11:00,finalCode,vaue198,Web,complete
768,name,name83,Web,complete,insertValue,2019-03-07T22:15:48.498+11:00,surname,surname83,Web,complete,insertValue,2019-03-07T22:15:56.964+11:00,age,42,Web,complete,insertValue,2019-03-07T22:16:04.990+11:00,4,type,Web,complete,insertValue,2019-03-07T22:16:17.788+11:00,B4,Web,complete,clickButton,2019-03-07T22:16:32.119+11:00,Excel,complete,openFile,Sheet1,2019-03-07T22:16:37.147+11:00,data123.xls,4887,Excel,complete,findValue,TRUE,2019-03-07T22:16:39.760+11:00,copy,B,value83,Excel,1,complete,2019-03-07T22:16:43.793+11:00,paste,C,vaue83,Excel
769,name,name350,Web,complete,insertValue,2019-03-07T22:16:58.911+11:00,surname,surname350,Web,complete,insertValue,2019-03-07T22:17:10.075+11:00,age,22,Web,complete,insertValue,2019-03-07T22:17:10.075+11:00,1,type,Web,complete,insertValue,2019-03-07T22:17:23.315+11:00,B1,Web,complete,clickButton,2019-03-07T22:17:30.875+11:00,insertValue,B,4657,Excel,29,complete,2019-03-07T22:17:34.510+11:00,Web,complete,goToUrl,2019-03-07T22:17:35.208+11:00,www.webpage2.com,value2,value4657,Web,complete,copy,2019-03-07T22:17:45.136+11:00,paste,C,vaue4657,Excel,2
770,name,name1478,Web,complete,insertValue,2019-03-07T22:18:03.157+11:00,surname,surname1478,Web,complete,insertValue,2019-03-07T22:18:12.594+11:00,age,18,Web,complete,insertValue,2019-03-07T22:18:16.083+11:00,1,type,Web,complete,insertValue,2019-03-07T22:18:23.995+11:00,B1,Web,complete,clickButton,2019-03-07T22:18:28.993+11:00,insertValue,B,3114,Excel,23,complete,2019-03-07T22:18:30.312+11:00,Web,complete,goToUrl,2019-03-07T22:18:44.483+11:00,www.webpage2.com,value2,value3114,Web,complete,copy,2019-03-07T22:18:47.574+11:00,finalCode,vaue3114,Web,complete,paste
771,name,name1526,Web,complete,insertValue,2019-03-07T22:19:01.484+11:00,surname,surname1526,Web,complete,insertValue,2019-03-07T22:19:04.364+11:00,age,22,Web,complete,insertValue,2019-03-07T22:19:08.046+11:00,2,type,Web,complete,insertValue,2019-03-07T22:19:14.251+11:00,B1,Web,complete,clickButton,2019-03-07T22:19:28.569+11:00,insertValue,B,2020,Excel,15,complete,2019-03-07T22:19:30.590+11:00,Web,complete,goToUrl,2019-03-07T22:19:39.714+11:00,www.webpage2.com,value2,value2020,Web,complete,copy,2019-03-07T22:19:56.865+11:00,finalCode,vaue2020,Web,complete,paste
772,name,name2827,Web,complete,insertValue,2019-03-07T22:20:16.057+11:00,surname,surname2827,Web,complete,insertValue,2019-03-07T22:20:28.528+11:00,age,18,Web,complete,insertValue,2019-03-07T22:20:37.033+11:00,4,type,Web,complete,insertValue,2019-03-07T22:20:43.922+11:00,B4,Web,complete,clickButton,2019-03-07T22:20:48.775+11:00,Excel,complete,openFile,Sheet1,2019-03-07T22:20:53.034+11:00,data123.xls,4149,Excel,complete,findValue,FALSE,2019-03-07T22:20:56+11:00,copy,B,value2827,Excel,1,complete,2019-03-07T22:21:00.198+11:00,finalCode,vaue2827,Web,complete
773,name,name1019,Web,complete,insertValue,2019-03-07T22:21:15.006+11:00,surname,surname1019,Web,complete,insertValue,2019-03-07T22:21:26.570+11:00,age,25,Web,complete,insertValue,2019-03-07T22:21:37.179+11:00,2,type,Web,complete,insertValue,2019-03-07T22:21:44.155+11:00,B1,Web,complete,clickButton,2019-03-07T22:21:52.837+11:00,insertValue,B,2858,Excel,1,complete,2019-03-07T22:21:55.308+11:00,Web,complete,goToUrl,2019-03-07T22:21:56.884+11:00,www.webpage2.com,value2,value2858,Web,complete,copy,2019-03-07T22:22:02.700+11:00,paste,C,vaue2858,Excel,2
774,name,name621,Web,complete,insertValue,2019-03-07T22:22:20.112+11:00,surname,surname621,Web,complete,insertValue,2019-03-07T22:22:26.920+11:00,age,25,Web,complete,insertValue,2019-03-07T22:22:27.941+11:00,4,type,Web,complete,insertValue,2019-03-07T22:22:37.186+11:00,B4,Web,complete,clickButton,2019-03-07T22:22:49.975+11:00,Web,complete,goToUrl,2019-03-07T22:22:53.175+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T22:22:55.520+11:00,valueX,valuex621,Web,complete,insertValue,2019-03-07T22:23:14.527+11:00,Cancel,Web,complete,clickButton,2019-03-07T22:23:17.332+11:00,,
775,name,name1214,Web,complete,insertValue,2019-03-07T22:23:27.332+11:00,surname,surname1214,Web,complete,insertValue,2019-03-07T22:23:33.360+11:00,age,33,Web,complete,insertValue,2019-03-07T22:23:44.644+11:00,2,type,Web,complete,insertValue,2019-03-07T22:23:47.833+11:00,B1,Web,complete,clickButton,2019-03-07T22:23:55.463+11:00,insertValue,B,3636,Excel,37,complete,2019-03-07T22:23:59.888+11:00,Web,complete,goToUrl,2019-03-07T22:24:14.126+11:00,www.webpage2.com,value2,value3636,Web,complete,copy,2019-03-07T22:24:23.661+11:00,finalCode,vaue3636,Web,complete,paste
776,name,name428,Web,complete,insertValue,2019-03-07T22:24:39.766+11:00,surname,surname428,Web,complete,insertValue,2019-03-07T22:24:40.606+11:00,age,23,Web,complete,insertValue,2019-03-07T22:24:54.831+11:00,3,type,Web,complete,insertValue,2019-03-07T22:25:05.400+11:00,B4,Web,complete,clickButton,2019-03-07T22:25:14.860+11:00,Excel,complete,openFile,Sheet1,2019-03-07T22:25:18.165+11:00,data123.xls,3032,Excel,complete,findValue,TRUE,2019-03-07T22:25:20.900+11:00,copy,B,value428,Excel,1,complete,2019-03-07T22:25:23.803+11:00,finalCode,vaue428,Web,complete
777,name,name988,Web,complete,insertValue,2019-03-07T22:25:38.709+11:00,surname,surname988,Web,complete,insertValue,2019-03-07T22:25:47.468+11:00,age,25,Web,complete,insertValue,2019-03-07T22:25:55.307+11:00,2,type,Web,complete,insertValue,2019-03-07T22:26:02.506+11:00,B1,Web,complete,clickButton,2019-03-07T22:26:11.898+11:00,insertValue,B,3396,Excel,26,complete,2019-03-07T22:26:15.404+11:00,Web,complete,goToUrl,2019-03-07T22:26:24.696+11:00,www.webpage2.com,value2,value3396,Web,complete,copy,2019-03-07T22:26:28.337+11:00,finalCode,vaue3396,Web,complete,paste
778,name,name1062,Web,complete,insertValue,2019-03-07T22:26:45.579+11:00,surname,surname1062,Web,complete,insertValue,2019-03-07T22:26:51.349+11:00,age,23,Web,complete,insertValue,2019-03-07T22:27:04.473+11:00,2,type,Web,complete,insertValue,2019-03-07T22:27:16.047+11:00,B1,Web,complete,clickButton,2019-03-07T22:27:23.488+11:00,insertValue,B,2057,Excel,2,complete,2019-03-07T22:27:25.609+11:00,Web,complete,goToUrl,2019-03-07T22:27:33.162+11:00,www.webpage2.com,value2,value2057,Web,complete,copy,2019-03-07T22:27:40.867+11:00,paste,C,vaue2057,Excel,2
779,name,name2532,Web,complete,insertValue,2019-03-07T22:27:57.810+11:00,surname,surname2532,Web,complete,insertValue,2019-03-07T22:28:09.076+11:00,age,23,Web,complete,insertValue,2019-03-07T22:28:09.826+11:00,3,type,Web,complete,insertValue,2019-03-07T22:28:17.133+11:00,B4,Web,complete,clickButton,2019-03-07T22:28:17.133+11:00,Excel,complete,openFile,Sheet1,2019-03-07T22:28:21.405+11:00,data123.xls,3684,Excel,complete,findValue,FALSE,2019-03-07T22:28:24.116+11:00,copy,B,value2532,Excel,1,complete,2019-03-07T22:28:25.762+11:00,paste,C,vaue2532,Excel
780,name,name1464,Web,complete,insertValue,2019-03-07T22:28:48.113+11:00,surname,surname1464,Web,complete,insertValue,2019-03-07T22:28:56.444+11:00,age,29,Web,complete,insertValue,2019-03-07T22:29:07.507+11:00,1,type,Web,complete,insertValue,2019-03-07T22:29:07.507+11:00,B1,Web,complete,clickButton,2019-03-07T22:29:19.693+11:00,insertValue,B,3123,Excel,20,complete,2019-03-07T22:29:23.741+11:00,Web,complete,goToUrl,2019-03-07T22:29:31.413+11:00,www.webpage2.com,value2,value3123,Web,complete,copy,2019-03-07T22:29:38.353+11:00,finalCode,vaue3123,Web,complete,paste
