Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53,Parameter54,Parameter55,Parameter56,Parameter57,Parameter58,Parameter59,Parameter60,Parameter61,Parameter62,Parameter63,Parameter64,Parameter65
525,Clients,Web,complete,clickButton,2019-03-05T20:36:27.512+11:00,clientID,ID1149,Web,complete,insertValue,2019-03-05T20:36:29.588+11:00,Web,complete,pressKey,2019-03-05T20:36:41.879+11:00,enter,update,ID1149,Web,complete,clickButton,2019-03-05T20:36:44.290+11:00,address,addA1344addB1012,Web,complete,insertValue,2019-03-05T20:36:48.252+11:00,Country107,country,Web,complete,insertValue,2019-03-05T20:36:57.577+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:37:02.311+11:00,OK,Web,complete,clickButton,2019-03-05T20:37:05.595+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:37:07.860+11:00,,,,,,,,,,,,,,,
526,Clients,Web,complete,clickButton,2019-03-05T20:37:19.395+11:00,clientID,ID253,Web,complete,insertValue,2019-03-05T20:37:23.009+11:00,Web,complete,pressKey,2019-03-05T20:37:33.320+11:00,enter,update,ID253,Web,complete,clickButton,2019-03-05T20:37:36.555+11:00,address,addA499addB1985,Web,complete,insertValue,2019-03-05T20:37:39.268+11:00,Country95,country,Web,complete,insertValue,2019-03-05T20:37:47.967+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:37:58.947+11:00,OK,Web,complete,clickButton,2019-03-05T20:38:01.840+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:38:03.736+11:00,,,,,,,,,,,,,,,
527,Clients,Web,complete,clickButton,2019-03-05T20:38:17.390+11:00,clientID,ID1774,Web,complete,insertValue,2019-03-05T20:38:19.909+11:00,Web,complete,pressKey,2019-03-05T20:38:23.891+11:00,enter,update,ID1774,Web,complete,clickButton,2019-03-05T20:38:27.350+11:00,address,addA928addB73,Web,complete,insertValue,2019-03-05T20:38:29.646+11:00,Country58,country,Web,complete,insertValue,2019-03-05T20:38:45.414+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:38:58.488+11:00,OK,Web,complete,clickButton,2019-03-05T20:39:00.925+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:39:03.556+11:00,,,,,,,,,,,,,,,
528,Clients,Web,complete,clickButton,2019-03-05T20:39:16.683+11:00,clientID,ID1342,Web,complete,insertValue,2019-03-05T20:39:20.107+11:00,Web,complete,pressKey,2019-03-05T20:39:32.222+11:00,enter,update,ID1342,Web,complete,clickButton,2019-03-05T20:39:33.658+11:00,address,addA1675addB722,Web,complete,insertValue,2019-03-05T20:39:36.073+11:00,Country13,country,Web,complete,insertValue,2019-03-05T20:39:47.140+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:40:04.450+11:00,OK,Web,complete,clickButton,2019-03-05T20:40:07.457+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:40:09.466+11:00,,,,,,,,,,,,,,,
529,Clients,Web,complete,clickButton,2019-03-05T20:40:22.782+11:00,clientID,ID1828,Web,complete,insertValue,2019-03-05T20:40:23.721+11:00,Web,complete,pressKey,2019-03-05T20:40:35.862+11:00,enter,update,ID1828,Web,complete,clickButton,2019-03-05T20:40:38.715+11:00,address,addA765addB333,Web,complete,insertValue,2019-03-05T20:40:42.237+11:00,Country48,country,Web,complete,insertValue,2019-03-05T20:40:49.192+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:40:52.497+11:00,OK,Web,complete,clickButton,2019-03-05T20:40:54.432+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:40:56.092+11:00,,,,,,,,,,,,,,,
530,Clients,Web,complete,clickButton,2019-03-05T20:41:08.542+11:00,clientID,ID1547,Web,complete,insertValue,2019-03-05T20:41:11.821+11:00,Web,complete,pressKey,2019-03-05T20:41:11.821+11:00,enter,update,ID1547,Web,complete,clickButton,2019-03-05T20:41:14.113+11:00,address,addA1479addB283,Web,complete,insertValue,2019-03-05T20:41:17.292+11:00,Australia,country,Web,complete,insertValue,2019-03-05T20:41:24.530+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T20:41:34.543+11:00,ID1547,address,addB283,Web,complete,copy,2019-03-05T20:41:40.505+11:00,paste,A,addB283,Excel,5,complete,2019-03-05T20:41:54.516+11:00,save,Excel,complete,saveFile,2019-03-05T20:41:54.864+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T20:41:56.241+11:00
531,Clients,Web,complete,clickButton,2019-03-05T20:42:09.678+11:00,clientID,ID1673,Web,complete,insertValue,2019-03-05T20:42:12.298+11:00,Web,complete,pressKey,2019-03-05T20:42:19.815+11:00,enter,update,ID1673,Web,complete,clickButton,2019-03-05T20:42:23.568+11:00,address,addA720addB990,Web,complete,insertValue,2019-03-05T20:42:25.513+11:00,Australia,country,Web,complete,insertValue,2019-03-05T20:42:30.670+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T20:42:32.848+11:00,ID1673,address,addB990,Web,complete,copy,2019-03-05T20:42:41.290+11:00,paste,A,addB990,Excel,5,complete,2019-03-05T20:42:58.531+11:00,save,Excel,complete,saveFile,2019-03-05T20:43:01.300+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T20:43:04.248+11:00
532,Clients,Web,complete,clickButton,2019-03-05T20:43:17.024+11:00,clientID,ID1832,Web,complete,insertValue,2019-03-05T20:43:19.167+11:00,Web,complete,pressKey,2019-03-05T20:43:21.946+11:00,enter,update,ID1832,Web,complete,clickButton,2019-03-05T20:43:24.903+11:00,address,addA416addB1944,Web,complete,insertValue,2019-03-05T20:43:29.033+11:00,Australia,country,Web,complete,insertValue,2019-03-05T20:43:29.033+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T20:43:29.033+11:00,ID1832,address,addB1944,Web,complete,copy,2019-03-05T20:43:43.278+11:00,paste,A,addB1944,Excel,5,complete,2019-03-05T20:43:46.100+11:00,save,Excel,complete,saveFile,2019-03-05T20:43:50.520+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T20:43:54.363+11:00
533,Clients,Web,complete,clickButton,2019-03-05T20:44:07.591+11:00,clientID,ID1966,Web,complete,insertValue,2019-03-05T20:44:10.796+11:00,Web,complete,pressKey,2019-03-05T20:44:21.009+11:00,enter,update,ID1966,Web,complete,clickButton,2019-03-05T20:44:25.019+11:00,address,addA1101addB587,Web,complete,insertValue,2019-03-05T20:44:29.805+11:00,Australia,country,Web,complete,insertValue,2019-03-05T20:44:31.580+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T20:44:34.356+11:00,ID1966,address,addB587,Web,complete,copy,2019-03-05T20:44:55.516+11:00,paste,A,addB587,Excel,5,complete,2019-03-05T20:45:07.289+11:00,save,Excel,complete,saveFile,2019-03-05T20:45:10.869+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T20:45:13.419+11:00
534,Clients,Web,complete,clickButton,2019-03-05T20:45:25.179+11:00,clientID,ID1643,Web,complete,insertValue,2019-03-05T20:45:28.740+11:00,Web,complete,pressKey,2019-03-05T20:45:39.099+11:00,enter,update,ID1643,Web,complete,clickButton,2019-03-05T20:45:40.525+11:00,address,addA1693addB1457,Web,complete,insertValue,2019-03-05T20:45:43.725+11:00,Country176,country,Web,complete,insertValue,2019-03-05T20:45:47.281+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:45:54.455+11:00,OK,Web,complete,clickButton,2019-03-05T20:45:57.629+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:45:59.273+11:00,,,,,,,,,,,,,,,
535,Clients,Web,complete,clickButton,2019-03-05T20:46:13.370+11:00,clientID,ID1223,Web,complete,insertValue,2019-03-05T20:46:16.237+11:00,Web,complete,pressKey,2019-03-05T20:46:23.069+11:00,enter,update,ID1223,Web,complete,clickButton,2019-03-05T20:46:27.537+11:00,address,addA899addB536,Web,complete,insertValue,2019-03-05T20:46:31.628+11:00,Country68,country,Web,complete,insertValue,2019-03-05T20:46:41.080+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:46:46.952+11:00,OK,Web,complete,clickButton,2019-03-05T20:46:49.121+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:46:52.315+11:00,,,,,,,,,,,,,,,
536,Clients,Web,complete,clickButton,2019-03-05T20:47:05.887+11:00,clientID,ID761,Web,complete,insertValue,2019-03-05T20:47:08.252+11:00,Web,complete,pressKey,2019-03-05T20:47:19.928+11:00,enter,update,ID761,Web,complete,clickButton,2019-03-05T20:47:23.425+11:00,address,addA1929addB648,Web,complete,insertValue,2019-03-05T20:47:26.332+11:00,Australia,country,Web,complete,insertValue,2019-03-05T20:47:31.797+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T20:47:44.991+11:00,ID761,address,addB648,Web,complete,copy,2019-03-05T20:47:48.481+11:00,paste,A,addB648,Excel,5,complete,2019-03-05T20:47:48.481+11:00,save,Excel,complete,saveFile,2019-03-05T20:47:50.373+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T20:47:52.731+11:00
537,Clients,Web,complete,clickButton,2019-03-05T20:48:05.948+11:00,clientID,ID1446,Web,complete,insertValue,2019-03-05T20:48:08.921+11:00,Web,complete,pressKey,2019-03-05T20:48:08.921+11:00,enter,update,ID1446,Web,complete,clickButton,2019-03-05T20:48:10.188+11:00,address,addA1796addB193,Web,complete,insertValue,2019-03-05T20:48:13.647+11:00,Country122,country,Web,complete,insertValue,2019-03-05T20:48:24.850+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:48:40.129+11:00,OK,Web,complete,clickButton,2019-03-05T20:48:43.892+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:48:49.527+11:00,,,,,,,,,,,,,,,
538,Clients,Web,complete,clickButton,2019-03-05T20:49:04.120+11:00,clientID,ID467,Web,complete,insertValue,2019-03-05T20:49:06.787+11:00,Web,complete,pressKey,2019-03-05T20:49:06.787+11:00,enter,update,ID467,Web,complete,clickButton,2019-03-05T20:49:09.415+11:00,address,addA201addB1862,Web,complete,insertValue,2019-03-05T20:49:12.657+11:00,Country126,country,Web,complete,insertValue,2019-03-05T20:49:16.290+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:49:25.769+11:00,OK,Web,complete,clickButton,2019-03-05T20:49:27.799+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:49:30.247+11:00,,,,,,,,,,,,,,,
539,Clients,Web,complete,clickButton,2019-03-05T20:49:45.007+11:00,clientID,ID615,Web,complete,insertValue,2019-03-05T20:49:47.999+11:00,Web,complete,pressKey,2019-03-05T20:50:01.617+11:00,enter,update,ID615,Web,complete,clickButton,2019-03-05T20:50:05.907+11:00,address,addA1704addB1034,Web,complete,insertValue,2019-03-05T20:50:06.920+11:00,Australia,country,Web,complete,insertValue,2019-03-05T20:50:12.480+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T20:50:17.318+11:00,ID615,address,addB1034,Web,complete,copy,2019-03-05T20:50:25.926+11:00,paste,A,addB1034,Excel,5,complete,2019-03-05T20:50:36.476+11:00,save,Excel,complete,saveFile,2019-03-05T20:50:40.018+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T20:50:44.549+11:00
540,Clients,Web,complete,clickButton,2019-03-05T20:50:57.897+11:00,clientID,ID1159,Web,complete,insertValue,2019-03-05T20:51:01.211+11:00,Web,complete,pressKey,2019-03-05T20:51:05.873+11:00,enter,update,ID1159,Web,complete,clickButton,2019-03-05T20:51:09.277+11:00,address,addA303addB811,Web,complete,insertValue,2019-03-05T20:51:12.216+11:00,Australia,country,Web,complete,insertValue,2019-03-05T20:51:32.133+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T20:51:40.594+11:00,ID1159,address,addB811,Web,complete,copy,2019-03-05T20:51:47.825+11:00,paste,A,addB811,Excel,5,complete,2019-03-05T20:51:54.352+11:00,save,Excel,complete,saveFile,2019-03-05T20:51:55.801+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T20:51:57.651+11:00
541,Clients,Web,complete,clickButton,2019-03-05T20:52:11.345+11:00,clientID,ID1785,Web,complete,insertValue,2019-03-05T20:52:14.077+11:00,Web,complete,pressKey,2019-03-05T20:52:17.112+11:00,enter,update,ID1785,Web,complete,clickButton,2019-03-05T20:52:19.824+11:00,address,addA1555addB1606,Web,complete,insertValue,2019-03-05T20:52:23.452+11:00,Country16,country,Web,complete,insertValue,2019-03-05T20:52:37.301+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:52:46.022+11:00,OK,Web,complete,clickButton,2019-03-05T20:52:49.313+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:52:52.688+11:00,,,,,,,,,,,,,,,
542,Clients,Web,complete,clickButton,2019-03-05T20:53:05.838+11:00,clientID,ID1132,Web,complete,insertValue,2019-03-05T20:53:08.438+11:00,Web,complete,pressKey,2019-03-05T20:53:10.680+11:00,enter,update,ID1132,Web,complete,clickButton,2019-03-05T20:53:15.169+11:00,address,addA583addB1841,Web,complete,insertValue,2019-03-05T20:53:17.957+11:00,Australia,country,Web,complete,insertValue,2019-03-05T20:53:27.228+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T20:53:29.550+11:00,ID1132,address,addB1841,Web,complete,copy,2019-03-05T20:53:34.010+11:00,paste,A,addB1841,Excel,5,complete,2019-03-05T20:53:44.573+11:00,save,Excel,complete,saveFile,2019-03-05T20:53:48.028+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T20:53:50.498+11:00
543,Clients,Web,complete,clickButton,2019-03-05T20:54:02.648+11:00,clientID,ID903,Web,complete,insertValue,2019-03-05T20:54:05.684+11:00,Web,complete,pressKey,2019-03-05T20:54:19.880+11:00,enter,update,ID903,Web,complete,clickButton,2019-03-05T20:54:22.469+11:00,address,addA326addB154,Web,complete,insertValue,2019-03-05T20:54:26.278+11:00,Australia,country,Web,complete,insertValue,2019-03-05T20:54:32.173+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T20:54:42.013+11:00,ID903,address,addB154,Web,complete,copy,2019-03-05T20:54:52.951+11:00,paste,A,addB154,Excel,5,complete,2019-03-05T20:54:57.339+11:00,save,Excel,complete,saveFile,2019-03-05T20:54:59.468+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T20:55:03.849+11:00
544,Clients,Web,complete,clickButton,2019-03-05T20:55:17.616+11:00,clientID,ID680,Web,complete,insertValue,2019-03-05T20:55:20.469+11:00,Web,complete,pressKey,2019-03-05T20:55:24.824+11:00,enter,update,ID680,Web,complete,clickButton,2019-03-05T20:55:26.776+11:00,address,addA1895addB619,Web,complete,insertValue,2019-03-05T20:55:28.961+11:00,Country95,country,Web,complete,insertValue,2019-03-05T20:55:30.291+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:55:30.291+11:00,OK,Web,complete,clickButton,2019-03-05T20:55:33.248+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:55:37.316+11:00,,,,,,,,,,,,,,,
545,Clients,Web,complete,clickButton,2019-03-05T20:55:50.170+11:00,clientID,ID1889,Web,complete,insertValue,2019-03-05T20:55:53.987+11:00,Web,complete,pressKey,2019-03-05T20:56:03.648+11:00,enter,update,ID1889,Web,complete,clickButton,2019-03-05T20:56:06.998+11:00,address,addA773addB463,Web,complete,insertValue,2019-03-05T20:56:10.151+11:00,Australia,country,Web,complete,insertValue,2019-03-05T20:56:10.151+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T20:56:22.224+11:00,ID1889,address,addB463,Web,complete,copy,2019-03-05T20:56:27.491+11:00,paste,A,addB463,Excel,5,complete,2019-03-05T20:56:34.979+11:00,save,Excel,complete,saveFile,2019-03-05T20:56:37.891+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T20:56:40.995+11:00
546,Clients,Web,complete,clickButton,2019-03-05T20:56:54.104+11:00,clientID,ID1963,Web,complete,insertValue,2019-03-05T20:56:56.939+11:00,Web,complete,pressKey,2019-03-05T20:57:08.276+11:00,enter,update,ID1963,Web,complete,clickButton,2019-03-05T20:57:11.982+11:00,address,addA114addB347,Web,complete,insertValue,2019-03-05T20:57:15.145+11:00,Country183,country,Web,complete,insertValue,2019-03-05T20:57:20.502+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:57:29.959+11:00,OK,Web,complete,clickButton,2019-03-05T20:57:33.732+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:57:38.068+11:00,,,,,,,,,,,,,,,
547,Clients,Web,complete,clickButton,2019-03-05T20:57:52.104+11:00,clientID,ID1635,Web,complete,insertValue,2019-03-05T20:57:55.244+11:00,Web,complete,pressKey,2019-03-05T20:58:04.448+11:00,enter,update,ID1635,Web,complete,clickButton,2019-03-05T20:58:07.473+11:00,address,addA805addB916,Web,complete,insertValue,2019-03-05T20:58:11.523+11:00,Country188,country,Web,complete,insertValue,2019-03-05T20:58:27.580+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:58:34.325+11:00,OK,Web,complete,clickButton,2019-03-05T20:58:37.440+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:58:39.313+11:00,,,,,,,,,,,,,,,
548,Clients,Web,complete,clickButton,2019-03-05T20:58:52.744+11:00,clientID,ID1525,Web,complete,insertValue,2019-03-05T20:58:55.381+11:00,Web,complete,pressKey,2019-03-05T20:59:00.191+11:00,enter,update,ID1525,Web,complete,clickButton,2019-03-05T20:59:02.705+11:00,address,addA830addB773,Web,complete,insertValue,2019-03-05T20:59:05.450+11:00,Australia,country,Web,complete,insertValue,2019-03-05T20:59:05.450+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T20:59:07.954+11:00,ID1525,address,addB773,Web,complete,copy,2019-03-05T20:59:22.487+11:00,paste,A,addB773,Excel,5,complete,2019-03-05T20:59:31.002+11:00,save,Excel,complete,saveFile,2019-03-05T20:59:34.292+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T20:59:37.225+11:00
549,Clients,Web,complete,clickButton,2019-03-05T20:59:51.863+11:00,clientID,ID655,Web,complete,insertValue,2019-03-05T20:59:54.869+11:00,Web,complete,pressKey,2019-03-05T21:00:06.641+11:00,enter,update,ID655,Web,complete,clickButton,2019-03-05T21:00:08.825+11:00,address,addA1723addB220,Web,complete,insertValue,2019-03-05T21:00:13.249+11:00,Country69,country,Web,complete,insertValue,2019-03-05T21:00:21.310+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T21:00:30.891+11:00,OK,Web,complete,clickButton,2019-03-05T21:00:32.416+11:00,Confirm,Web,complete,clickButton,2019-03-05T21:00:33.198+11:00,,,,,,,,,,,,,,,
550,Clients,Web,complete,clickButton,2019-03-05T21:00:45.309+11:00,clientID,ID706,Web,complete,insertValue,2019-03-05T21:00:47.413+11:00,Web,complete,pressKey,2019-03-05T21:00:52.646+11:00,enter,update,ID706,Web,complete,clickButton,2019-03-05T21:00:55.719+11:00,address,addA1491addB375,Web,complete,insertValue,2019-03-05T21:01:00.251+11:00,Country2,country,Web,complete,insertValue,2019-03-05T21:01:06.694+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T21:01:16.738+11:00,OK,Web,complete,clickButton,2019-03-05T21:01:18.219+11:00,Confirm,Web,complete,clickButton,2019-03-05T21:01:23.222+11:00,,,,,,,,,,,,,,,
551,Clients,Web,complete,clickButton,2019-03-05T21:01:36.611+11:00,clientID,ID1380,Web,complete,insertValue,2019-03-05T21:01:39.317+11:00,Web,complete,pressKey,2019-03-05T21:01:39.317+11:00,enter,update,ID1380,Web,complete,clickButton,2019-03-05T21:01:43.089+11:00,address,addA99addB605,Web,complete,insertValue,2019-03-05T21:01:46.933+11:00,Australia,country,Web,complete,insertValue,2019-03-05T21:01:48.057+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T21:02:03.096+11:00,ID1380,address,addB605,Web,complete,copy,2019-03-05T21:02:16.932+11:00,paste,A,addB605,Excel,5,complete,2019-03-05T21:02:26.630+11:00,save,Excel,complete,saveFile,2019-03-05T21:02:30.745+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T21:02:34.447+11:00
552,Clients,Web,complete,clickButton,2019-03-05T21:02:47.784+11:00,clientID,ID712,Web,complete,insertValue,2019-03-05T21:02:51.307+11:00,Web,complete,pressKey,2019-03-05T21:02:53.232+11:00,enter,update,ID712,Web,complete,clickButton,2019-03-05T21:02:56.004+11:00,address,addA413addB138,Web,complete,insertValue,2019-03-05T21:02:57.818+11:00,Australia,country,Web,complete,insertValue,2019-03-05T21:03:02.092+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T21:03:04.929+11:00,ID712,address,addB138,Web,complete,copy,2019-03-05T21:03:11.442+11:00,paste,A,addB138,Excel,5,complete,2019-03-05T21:03:22.215+11:00,save,Excel,complete,saveFile,2019-03-05T21:03:25.784+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T21:03:30.046+11:00
553,Clients,Web,complete,clickButton,2019-03-05T21:03:41.866+11:00,clientID,ID376,Web,complete,insertValue,2019-03-05T21:03:45.001+11:00,Web,complete,pressKey,2019-03-05T21:04:00.919+11:00,enter,update,ID376,Web,complete,clickButton,2019-03-05T21:04:03.291+11:00,address,addA1230addB953,Web,complete,insertValue,2019-03-05T21:04:05.339+11:00,Australia,country,Web,complete,insertValue,2019-03-05T21:04:07.731+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T21:04:15.025+11:00,ID376,address,addB953,Web,complete,copy,2019-03-05T21:04:26.203+11:00,paste,A,addB953,Excel,5,complete,2019-03-05T21:04:39.065+11:00,save,Excel,complete,saveFile,2019-03-05T21:04:42.287+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T21:04:43.808+11:00
554,Clients,Web,complete,clickButton,2019-03-05T21:04:56.364+11:00,clientID,ID356,Web,complete,insertValue,2019-03-05T21:05:00.487+11:00,Web,complete,pressKey,2019-03-05T21:05:05.105+11:00,enter,update,ID356,Web,complete,clickButton,2019-03-05T21:05:06.764+11:00,address,addA1762addB1703,Web,complete,insertValue,2019-03-05T21:05:10.089+11:00,Country189,country,Web,complete,insertValue,2019-03-05T21:05:21.903+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T21:05:21.903+11:00,OK,Web,complete,clickButton,2019-03-05T21:05:25.068+11:00,Confirm,Web,complete,clickButton,2019-03-05T21:05:28.223+11:00,,,,,,,,,,,,,,,
