Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49
600,value1,value1816,Web,complete,insertValue,2019-03-05T19:38:46.779+11:00,code,36,Web,complete,insertValue,2019-03-05T19:39:02.244+11:00,B6,Web,complete,clickButton,2019-03-05T19:39:14.873+11:00,open,Web,complete,clickButton,2019-03-05T19:39:18.817+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:39:21.714+11:00,data123.xls,name637,Excel,complete,findValue,FALSE,2019-03-05T19:39:25.719+11:00,Web,complete,goToUrl,2019-03-05T19:39:29.087+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T19:39:36.999+11:00,,,,
601,value1,value1316,Web,complete,insertValue,2019-03-05T19:39:46.999+11:00,code,23,Web,complete,insertValue,2019-03-05T19:39:55.583+11:00,B7,Web,complete,clickButton,2019-03-05T19:40:00.306+11:00,open,Web,complete,clickButton,2019-03-05T19:40:04.139+11:00,code,23,Web,complete,copy,2019-03-05T19:40:06.098+11:00,paste,B,name,23,Excel,656,complete,2019-03-05T19:40:10.754+11:00,cancel,Web,complete,clickButton,2019-03-05T19:40:12.373+11:00,OK,Web,complete,clickButton,2019-03-05T19:40:16.230+11:00,,
602,value1,value923,Web,complete,insertValue,2019-03-05T19:40:26.230+11:00,code,46,Web,complete,insertValue,2019-03-05T19:40:26.549+11:00,B6,Web,complete,clickButton,2019-03-05T19:40:40.042+11:00,Web,complete,goToUrl,2019-03-05T19:40:40.348+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:40:48.580+11:00,code,46,Web,complete,copy,2019-03-05T19:40:50.791+11:00,paste,B,name,46,Excel,1287,complete,2019-03-05T19:40:54.345+11:00,add,Web,complete,clickButton,2019-03-05T19:40:57.527+11:00,OK,Web
603,value1,value600,Web,complete,insertValue,2019-03-05T19:41:10.244+11:00,code,25,Web,complete,insertValue,2019-03-05T19:41:33.992+11:00,B6,Web,complete,clickButton,2019-03-05T19:41:42.736+11:00,open,Web,complete,clickButton,2019-03-05T19:41:45.825+11:00,code,25,Web,complete,copy,2019-03-05T19:41:49.125+11:00,paste,B,name,25,Excel,268,complete,2019-03-05T19:41:52.418+11:00,Web,complete,goToUrl,2019-03-05T19:41:53.195+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T19:42:00.628+11:00,,
604,value1,value1823,Web,complete,insertValue,2019-03-05T19:42:10.628+11:00,code,22,Web,complete,insertValue,2019-03-05T19:42:18.306+11:00,B6,Web,complete,clickButton,2019-03-05T19:42:25.106+11:00,Web,complete,goToUrl,2019-03-05T19:42:26.710+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:42:34.701+11:00,code,22,Web,complete,copy,2019-03-05T19:42:39.198+11:00,paste,B,name,22,Excel,1257,complete,2019-03-05T19:42:42.718+11:00,add,Web,complete,clickButton,2019-03-05T19:42:46.603+11:00,OK,Web
605,value1,value1555,Web,complete,insertValue,2019-03-05T19:43:01.051+11:00,code,30,Web,complete,insertValue,2019-03-05T19:43:01.051+11:00,B7,Web,complete,clickButton,2019-03-05T19:43:12.246+11:00,open,Web,complete,clickButton,2019-03-05T19:43:15.800+11:00,code,30,Web,complete,copy,2019-03-05T19:43:19.173+11:00,paste,B,name,30,Excel,1176,complete,2019-03-05T19:43:19.908+11:00,add,Web,complete,clickButton,2019-03-05T19:43:23.036+11:00,OK,Web,complete,clickButton,2019-03-05T19:43:27.412+11:00,,
606,value1,value1258,Web,complete,insertValue,2019-03-05T19:43:37.412+11:00,code,23,Web,complete,insertValue,2019-03-05T19:43:42.257+11:00,B6,Web,complete,clickButton,2019-03-05T19:43:49.153+11:00,Web,complete,goToUrl,2019-03-05T19:43:54.071+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:44:05.114+11:00,code,23,Web,complete,copy,2019-03-05T19:44:07.402+11:00,paste,B,name,23,Excel,730,complete,2019-03-05T19:44:09.652+11:00,cancel,Web,complete,clickButton,2019-03-05T19:44:13.078+11:00,OK,Web
607,value1,value1991,Web,complete,insertValue,2019-03-05T19:44:26.373+11:00,code,21,Web,complete,insertValue,2019-03-05T19:44:36.173+11:00,B7,Web,complete,clickButton,2019-03-05T19:44:38.097+11:00,Web,complete,goToUrl,2019-03-05T19:44:41.721+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:44:52.522+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:44:55.254+11:00,data123.xls,code,21,Web,complete,copy,2019-03-05T19:44:57.269+11:00,paste,B,name,21,Excel,368,complete,2019-03-05T19:45:01.333+11:00,add
608,value1,value316,Web,complete,insertValue,2019-03-05T19:45:18.742+11:00,code,25,Web,complete,insertValue,2019-03-05T19:45:33.289+11:00,B7,Web,complete,clickButton,2019-03-05T19:45:40.601+11:00,open,Web,complete,clickButton,2019-03-05T19:45:43.532+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:45:46.043+11:00,data123.xls,name1330,Excel,complete,findValue,TRUE,2019-03-05T19:45:48.186+11:00,cancel,Web,complete,clickButton,2019-03-05T19:45:49.656+11:00,OK,Web,complete,clickButton,2019-03-05T19:45:54.782+11:00,,,,
609,value1,value126,Web,complete,insertValue,2019-03-05T19:46:04.782+11:00,code,25,Web,complete,insertValue,2019-03-05T19:46:08.691+11:00,B7,Web,complete,clickButton,2019-03-05T19:46:19.451+11:00,open,Web,complete,clickButton,2019-03-05T19:46:21.686+11:00,code,25,Web,complete,copy,2019-03-05T19:46:25.190+11:00,paste,B,name,25,Excel,1597,complete,2019-03-05T19:46:27.584+11:00,add,Web,complete,clickButton,2019-03-05T19:46:31.201+11:00,OK,Web,complete,clickButton,2019-03-05T19:46:35.627+11:00,,
610,value1,value485,Web,complete,insertValue,2019-03-05T19:46:45.627+11:00,code,25,Web,complete,insertValue,2019-03-05T19:46:58.529+11:00,B7,Web,complete,clickButton,2019-03-05T19:47:04.863+11:00,Web,complete,goToUrl,2019-03-05T19:47:08.852+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:47:08.852+11:00,code,25,Web,complete,copy,2019-03-05T19:47:11.122+11:00,paste,B,name,25,Excel,1188,complete,2019-03-05T19:47:14.103+11:00,add,Web,complete,clickButton,2019-03-05T19:47:17.594+11:00,OK,Web
611,value1,value1890,Web,complete,insertValue,2019-03-05T19:47:31.063+11:00,code,19,Web,complete,insertValue,2019-03-05T19:47:41.263+11:00,B6,Web,complete,clickButton,2019-03-05T19:47:53.385+11:00,open,Web,complete,clickButton,2019-03-05T19:47:56.023+11:00,code,19,Web,complete,copy,2019-03-05T19:48:00.149+11:00,paste,B,name,19,Excel,1011,complete,2019-03-05T19:48:04.078+11:00,Web,complete,goToUrl,2019-03-05T19:48:08.250+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T19:48:16.693+11:00,,
612,value1,value148,Web,complete,insertValue,2019-03-05T19:48:26.693+11:00,code,31,Web,complete,insertValue,2019-03-05T19:48:37.349+11:00,B7,Web,complete,clickButton,2019-03-05T19:48:43.810+11:00,open,Web,complete,clickButton,2019-03-05T19:48:46.705+11:00,code,31,Web,complete,copy,2019-03-05T19:48:48.988+11:00,paste,B,name,31,Excel,511,complete,2019-03-05T19:48:51.848+11:00,add,Web,complete,clickButton,2019-03-05T19:48:54.165+11:00,OK,Web,complete,clickButton,2019-03-05T19:48:56.831+11:00,,
613,value1,value1791,Web,complete,insertValue,2019-03-05T19:49:06.831+11:00,code,26,Web,complete,insertValue,2019-03-05T19:49:14.419+11:00,B6,Web,complete,clickButton,2019-03-05T19:49:23.756+11:00,open,Web,complete,clickButton,2019-03-05T19:49:28.032+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:49:30.350+11:00,data123.xls,code,26,Web,complete,copy,2019-03-05T19:49:33.381+11:00,paste,B,name,26,Excel,1573,complete,2019-03-05T19:49:36.475+11:00,add,Web,complete,clickButton,2019-03-05T19:49:40.077+11:00,OK
614,value1,value637,Web,complete,insertValue,2019-03-05T19:49:51.880+11:00,code,42,Web,complete,insertValue,2019-03-05T19:50:03.339+11:00,B6,Web,complete,clickButton,2019-03-05T19:50:20.304+11:00,Web,complete,goToUrl,2019-03-05T19:50:23.781+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:50:37.925+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:50:41.295+11:00,data123.xls,code,42,Web,complete,copy,2019-03-05T19:50:45.656+11:00,paste,B,name,42,Excel,717,complete,2019-03-05T19:50:47.977+11:00,Web
615,value1,value1661,Web,complete,insertValue,2019-03-05T19:51:05.979+11:00,code,25,Web,complete,insertValue,2019-03-05T19:51:15.770+11:00,B7,Web,complete,clickButton,2019-03-05T19:51:20.831+11:00,Web,complete,goToUrl,2019-03-05T19:51:24.114+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:51:35.193+11:00,code,25,Web,complete,copy,2019-03-05T19:51:38.513+11:00,paste,B,name,25,Excel,282,complete,2019-03-05T19:51:42.088+11:00,Web,complete,goToUrl,2019-03-05T19:51:45.131+11:00,www.webpage.com,OK,Web
616,value1,value1556,Web,complete,insertValue,2019-03-05T19:52:05.669+11:00,code,43,Web,complete,insertValue,2019-03-05T19:52:13.195+11:00,B7,Web,complete,clickButton,2019-03-05T19:52:19.836+11:00,open,Web,complete,clickButton,2019-03-05T19:52:23.468+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:52:26.804+11:00,data123.xls,code,43,Web,complete,copy,2019-03-05T19:52:29.362+11:00,paste,B,name,43,Excel,1880,complete,2019-03-05T19:52:30.101+11:00,add,Web,complete,clickButton,2019-03-05T19:52:32.718+11:00,OK
617,value1,value1652,Web,complete,insertValue,2019-03-05T19:52:43.824+11:00,code,21,Web,complete,insertValue,2019-03-05T19:52:43.824+11:00,B6,Web,complete,clickButton,2019-03-05T19:52:48.824+11:00,Web,complete,goToUrl,2019-03-05T19:52:50.474+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:53:00.711+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:53:02.158+11:00,data123.xls,code,21,Web,complete,copy,2019-03-05T19:53:04.020+11:00,paste,B,name,21,Excel,1644,complete,2019-03-05T19:53:08.428+11:00,cancel
618,value1,value688,Web,complete,insertValue,2019-03-05T19:53:25.487+11:00,code,39,Web,complete,insertValue,2019-03-05T19:53:39.407+11:00,B7,Web,complete,clickButton,2019-03-05T19:53:50.132+11:00,open,Web,complete,clickButton,2019-03-05T19:53:53.383+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:53:56.983+11:00,data123.xls,code,39,Web,complete,copy,2019-03-05T19:53:59.557+11:00,paste,B,name,39,Excel,683,complete,2019-03-05T19:54:01.806+11:00,Web,complete,goToUrl,2019-03-05T19:54:05.128+11:00,www.webpage.com,OK
619,value1,value993,Web,complete,insertValue,2019-03-05T19:54:23.756+11:00,code,19,Web,complete,insertValue,2019-03-05T19:54:25.976+11:00,B6,Web,complete,clickButton,2019-03-05T19:54:31.945+11:00,open,Web,complete,clickButton,2019-03-05T19:54:35.840+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:54:40.820+11:00,data123.xls,name389,Excel,complete,findValue,TRUE,2019-03-05T19:54:41.081+11:00,cancel,Web,complete,clickButton,2019-03-05T19:54:43.502+11:00,OK,Web,complete,clickButton,2019-03-05T19:54:47.440+11:00,,,,
620,value1,value1843,Web,complete,insertValue,2019-03-05T19:54:57.440+11:00,code,30,Web,complete,insertValue,2019-03-05T19:55:05.318+11:00,B7,Web,complete,clickButton,2019-03-05T19:55:18.365+11:00,Web,complete,goToUrl,2019-03-05T19:55:21.142+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:55:26.861+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:55:28.499+11:00,data123.xls,code,30,Web,complete,copy,2019-03-05T19:55:30.968+11:00,paste,B,name,30,Excel,1110,complete,2019-03-05T19:55:33.604+11:00,cancel
621,value1,value1037,Web,complete,insertValue,2019-03-05T19:55:50.721+11:00,code,45,Web,complete,insertValue,2019-03-05T19:55:55.403+11:00,B6,Web,complete,clickButton,2019-03-05T19:55:59.750+11:00,Web,complete,goToUrl,2019-03-05T19:56:01.762+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:56:10.207+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:56:12.003+11:00,data123.xls,name1332,Excel,complete,findValue,TRUE,2019-03-05T19:56:14.967+11:00,add,Web,complete,clickButton,2019-03-05T19:56:17.585+11:00,OK,Web,complete,clickButton
622,value1,value1146,Web,complete,insertValue,2019-03-05T19:56:29.588+11:00,code,23,Web,complete,insertValue,2019-03-05T19:56:42.835+11:00,B7,Web,complete,clickButton,2019-03-05T19:56:52.654+11:00,Web,complete,goToUrl,2019-03-05T19:56:55.337+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:57:07.475+11:00,code,23,Web,complete,copy,2019-03-05T19:57:09.446+11:00,paste,B,name,23,Excel,411,complete,2019-03-05T19:57:11.888+11:00,add,Web,complete,clickButton,2019-03-05T19:57:13.060+11:00,OK,Web
623,value1,value1041,Web,complete,insertValue,2019-03-05T19:57:25.036+11:00,code,40,Web,complete,insertValue,2019-03-05T19:57:37.859+11:00,B6,Web,complete,clickButton,2019-03-05T19:57:54.262+11:00,Web,complete,goToUrl,2019-03-05T19:57:56.990+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:58:04.429+11:00,code,40,Web,complete,copy,2019-03-05T19:58:05.882+11:00,paste,B,name,40,Excel,1388,complete,2019-03-05T19:58:07.254+11:00,Web,complete,goToUrl,2019-03-05T19:58:11.391+11:00,www.webpage.com,OK,Web
624,value1,value1668,Web,complete,insertValue,2019-03-05T19:58:24.639+11:00,code,22,Web,complete,insertValue,2019-03-05T19:58:38.799+11:00,B7,Web,complete,clickButton,2019-03-05T19:58:53.955+11:00,Web,complete,goToUrl,2019-03-05T19:58:55.984+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:59:03.667+11:00,code,22,Web,complete,copy,2019-03-05T19:59:07.541+11:00,paste,B,name,22,Excel,827,complete,2019-03-05T19:59:09.082+11:00,cancel,Web,complete,clickButton,2019-03-05T19:59:11.888+11:00,OK,Web
625,value1,value1694,Web,complete,insertValue,2019-03-05T19:59:25.045+11:00,code,25,Web,complete,insertValue,2019-03-05T19:59:39.210+11:00,B6,Web,complete,clickButton,2019-03-05T19:59:53.612+11:00,open,Web,complete,clickButton,2019-03-05T19:59:56.507+11:00,code,25,Web,complete,copy,2019-03-05T19:59:57.555+11:00,paste,B,name,25,Excel,1570,complete,2019-03-05T20:00:01.440+11:00,cancel,Web,complete,clickButton,2019-03-05T20:00:05.279+11:00,OK,Web,complete,clickButton,2019-03-05T20:00:08.224+11:00,,
626,value1,value11,Web,complete,insertValue,2019-03-05T20:00:18.224+11:00,code,23,Web,complete,insertValue,2019-03-05T20:00:28.184+11:00,B6,Web,complete,clickButton,2019-03-05T20:00:30.587+11:00,Web,complete,goToUrl,2019-03-05T20:00:34.216+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T20:00:46.633+11:00,Excel,complete,openFile,Sheet1,2019-03-05T20:00:48.734+11:00,data123.xls,name1340,Excel,complete,findValue,FALSE,2019-03-05T20:00:51.031+11:00,add,Web,complete,clickButton,2019-03-05T20:00:53.122+11:00,OK,Web,complete,clickButton
627,value1,value1900,Web,complete,insertValue,2019-03-05T20:01:05.430+11:00,code,21,Web,complete,insertValue,2019-03-05T20:01:20.401+11:00,B6,Web,complete,clickButton,2019-03-05T20:01:32.722+11:00,open,Web,complete,clickButton,2019-03-05T20:01:38.172+11:00,Excel,complete,openFile,Sheet1,2019-03-05T20:01:39.962+11:00,data123.xls,code,21,Web,complete,copy,2019-03-05T20:01:43.175+11:00,paste,B,name,21,Excel,488,complete,2019-03-05T20:01:47.139+11:00,cancel,Web,complete,clickButton,2019-03-05T20:01:49.043+11:00,OK
628,value1,value868,Web,complete,insertValue,2019-03-05T20:02:02.465+11:00,code,29,Web,complete,insertValue,2019-03-05T20:02:12.690+11:00,B6,Web,complete,clickButton,2019-03-05T20:02:23.680+11:00,open,Web,complete,clickButton,2019-03-05T20:02:25.856+11:00,code,29,Web,complete,copy,2019-03-05T20:02:28.897+11:00,paste,B,name,29,Excel,1393,complete,2019-03-05T20:02:32.359+11:00,add,Web,complete,clickButton,2019-03-05T20:02:34.451+11:00,OK,Web,complete,clickButton,2019-03-05T20:02:37.818+11:00,,
629,value1,value90,Web,complete,insertValue,2019-03-05T20:02:47.818+11:00,code,25,Web,complete,insertValue,2019-03-05T20:02:55.669+11:00,B6,Web,complete,clickButton,2019-03-05T20:02:56.891+11:00,open,Web,complete,clickButton,2019-03-05T20:03:00.388+11:00,Excel,complete,openFile,Sheet1,2019-03-05T20:03:03.246+11:00,data123.xls,name118,Excel,complete,findValue,FALSE,2019-03-05T20:03:05.379+11:00,cancel,Web,complete,clickButton,2019-03-05T20:03:07.209+11:00,OK,Web,complete,clickButton,2019-03-05T20:03:09.505+11:00,,,,
630,value1,value499,Web,complete,insertValue,2019-03-05T20:03:19.505+11:00,code,27,Web,complete,insertValue,2019-03-05T20:03:19.505+11:00,B6,Web,complete,clickButton,2019-03-05T20:03:22.988+11:00,open,Web,complete,clickButton,2019-03-05T20:03:26.031+11:00,code,27,Web,complete,copy,2019-03-05T20:03:27.092+11:00,paste,B,name,27,Excel,652,complete,2019-03-05T20:03:29.789+11:00,add,Web,complete,clickButton,2019-03-05T20:03:33.977+11:00,OK,Web,complete,clickButton,2019-03-05T20:03:37.957+11:00,,
631,value1,value1961,Web,complete,insertValue,2019-03-05T20:03:47.957+11:00,code,48,Web,complete,insertValue,2019-03-05T20:04:04.432+11:00,B6,Web,complete,clickButton,2019-03-05T20:04:18.361+11:00,Web,complete,goToUrl,2019-03-05T20:04:21.297+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T20:04:30.045+11:00,code,48,Web,complete,copy,2019-03-05T20:04:34.162+11:00,paste,B,name,48,Excel,1200,complete,2019-03-05T20:04:37.209+11:00,add,Web,complete,clickButton,2019-03-05T20:04:41.063+11:00,OK,Web
632,value1,value125,Web,complete,insertValue,2019-03-05T20:04:53.388+11:00,code,20,Web,complete,insertValue,2019-03-05T20:04:55.814+11:00,B6,Web,complete,clickButton,2019-03-05T20:05:06.529+11:00,open,Web,complete,clickButton,2019-03-05T20:05:10.112+11:00,code,20,Web,complete,copy,2019-03-05T20:05:12.259+11:00,paste,B,name,20,Excel,592,complete,2019-03-05T20:05:13.606+11:00,add,Web,complete,clickButton,2019-03-05T20:05:16.662+11:00,OK,Web,complete,clickButton,2019-03-05T20:05:20.829+11:00,,
633,value1,value160,Web,complete,insertValue,2019-03-05T20:05:30.829+11:00,code,30,Web,complete,insertValue,2019-03-05T20:05:45.921+11:00,B6,Web,complete,clickButton,2019-03-05T20:05:54.771+11:00,Web,complete,goToUrl,2019-03-05T20:05:59.734+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T20:06:06.181+11:00,code,30,Web,complete,copy,2019-03-05T20:06:09.781+11:00,paste,B,name,30,Excel,601,complete,2019-03-05T20:06:12.871+11:00,Web,complete,goToUrl,2019-03-05T20:06:15.386+11:00,www.webpage.com,OK,Web
634,value1,value968,Web,complete,insertValue,2019-03-05T20:06:42.176+11:00,code,27,Web,complete,insertValue,2019-03-05T20:06:50.200+11:00,B6,Web,complete,clickButton,2019-03-05T20:06:52.505+11:00,Web,complete,goToUrl,2019-03-05T20:06:54.641+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T20:07:04.630+11:00,Excel,complete,openFile,Sheet1,2019-03-05T20:07:06.854+11:00,data123.xls,name316,Excel,complete,findValue,TRUE,2019-03-05T20:07:10.439+11:00,add,Web,complete,clickButton,2019-03-05T20:07:13.191+11:00,OK,Web,complete,clickButton
635,value1,value942,Web,complete,insertValue,2019-03-05T20:07:25.313+11:00,code,45,Web,complete,insertValue,2019-03-05T20:07:27.526+11:00,B7,Web,complete,clickButton,2019-03-05T20:07:37.290+11:00,Web,complete,goToUrl,2019-03-05T20:07:41.125+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T20:07:41.125+11:00,code,45,Web,complete,copy,2019-03-05T20:07:44.030+11:00,paste,B,name,45,Excel,1323,complete,2019-03-05T20:07:46.191+11:00,cancel,Web,complete,clickButton,2019-03-05T20:07:48.179+11:00,OK,Web
636,value1,value31,Web,complete,insertValue,2019-03-05T20:08:01.176+11:00,code,20,Web,complete,insertValue,2019-03-05T20:08:01.176+11:00,B7,Web,complete,clickButton,2019-03-05T20:08:01.646+11:00,open,Web,complete,clickButton,2019-03-05T20:08:03.007+11:00,code,20,Web,complete,copy,2019-03-05T20:08:05.819+11:00,paste,B,name,20,Excel,925,complete,2019-03-05T20:08:09.531+11:00,Web,complete,goToUrl,2019-03-05T20:08:12.439+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T20:08:19.010+11:00,,
637,value1,value560,Web,complete,insertValue,2019-03-05T20:08:29.010+11:00,code,33,Web,complete,insertValue,2019-03-05T20:08:29.763+11:00,B7,Web,complete,clickButton,2019-03-05T20:08:45.446+11:00,open,Web,complete,clickButton,2019-03-05T20:08:49.296+11:00,Excel,complete,openFile,Sheet1,2019-03-05T20:08:52.610+11:00,data123.xls,code,33,Web,complete,copy,2019-03-05T20:08:55.633+11:00,paste,B,name,33,Excel,26,complete,2019-03-05T20:08:57.939+11:00,Web,complete,goToUrl,2019-03-05T20:09:00.607+11:00,www.webpage.com,OK
638,value1,value446,Web,complete,insertValue,2019-03-05T20:09:18.406+11:00,code,25,Web,complete,insertValue,2019-03-05T20:09:28.962+11:00,B6,Web,complete,clickButton,2019-03-05T20:09:32.803+11:00,Web,complete,goToUrl,2019-03-05T20:09:36.310+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T20:09:51.663+11:00,Excel,complete,openFile,Sheet1,2019-03-05T20:09:54.196+11:00,data123.xls,name1286,Excel,complete,findValue,TRUE,2019-03-05T20:09:58.068+11:00,add,Web,complete,clickButton,2019-03-05T20:10:01.470+11:00,OK,Web,complete,clickButton
639,value1,value1489,Web,complete,insertValue,2019-03-05T20:10:13.400+11:00,code,25,Web,complete,insertValue,2019-03-05T20:10:14.626+11:00,B6,Web,complete,clickButton,2019-03-05T20:10:24.395+11:00,Web,complete,goToUrl,2019-03-05T20:10:27.380+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T20:10:37.061+11:00,Excel,complete,openFile,Sheet1,2019-03-05T20:10:41.869+11:00,data123.xls,name931,Excel,complete,findValue,FALSE,2019-03-05T20:10:48.370+11:00,cancel,Web,complete,clickButton,2019-03-05T20:10:51.964+11:00,OK,Web,complete,clickButton
