Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53,Parameter54,Parameter55,Parameter56,Parameter57,Parameter58,Parameter59,Parameter60,Parameter61,Parameter62,Parameter63,Parameter64,Parameter65,Parameter66
824,name,name1920,Web,complete,insertValue,2019-03-08T07:30:15.647+11:00,surname,surname1920,Web,complete,insertValue,2019-03-08T07:30:29.498+11:00,age,age23,Web,complete,insertValue,2019-03-08T07:30:40.694+11:00,T1,type,Web,complete,insertValue,2019-03-08T07:30:40.694+11:00,confirm,Web,complete,clickButton,2019-03-08T07:30:59.240+11:00,B1,Web,complete,clickButton,2019-03-08T07:31:00.406+11:00,name,name1920,Web,complete,copy,2019-03-08T07:31:01.448+11:00,paste,B,name,name1920,Excel,1,complete,2019-03-08T07:31:03.431+11:00,surname,surname1920,Web,complete,copy,2019-03-08T07:31:06.965+11:00,paste,B,surname,surname1920,Excel,1,complete,2019-03-08T07:31:10.405+11:00,add,Web,complete
825,name,name531,Web,complete,insertValue,2019-03-08T07:31:29.374+11:00,surname,surname531,Web,complete,insertValue,2019-03-08T07:31:35.325+11:00,age,age28,Web,complete,insertValue,2019-03-08T07:31:37.358+11:00,T1,type,Web,complete,insertValue,2019-03-08T07:31:40.591+11:00,confirm,Web,complete,clickButton,2019-03-08T07:31:40.591+11:00,B1,Web,complete,clickButton,2019-03-08T07:31:42.349+11:00,name,name531,Web,complete,copy,2019-03-08T07:31:45.141+11:00,paste,B,name,name531,Excel,1,complete,2019-03-08T07:31:48.958+11:00,surname,surname531,Web,complete,copy,2019-03-08T07:31:52.551+11:00,paste,B,surname,surname531,Excel,1,complete,2019-03-08T07:31:53.529+11:00,add,Web,complete
826,name,name2847,Web,complete,insertValue,2019-03-08T07:32:11.600+11:00,surname,surname2847,Web,complete,insertValue,2019-03-08T07:32:21.122+11:00,age,age19,Web,complete,insertValue,2019-03-08T07:32:28.976+11:00,T3,type,Web,complete,insertValue,2019-03-08T07:32:32.498+11:00,confirm,Web,complete,clickButton,2019-03-08T07:32:38.684+11:00,B4,Web,complete,clickButton,2019-03-08T07:32:41.428+11:00,Clients,Web,complete,clickButton,2019-03-08T07:32:43.072+11:00,clientID,ID2847,Web,complete,insertValue,2019-03-08T07:32:46.280+11:00,Web,complete,pressKey,2019-03-08T07:33:00.358+11:00,enter,update,ID2847,Web,complete,clickButton,2019-03-08T07:33:03.520+11:00,address,addA3680addB2528,Web,complete,insertValue,2019-03-08T07:33:06.510+11:00,Australia,country,Web
827,name,name2794,Web,complete,insertValue,2019-03-08T07:33:52.564+11:00,surname,surname2794,Web,complete,insertValue,2019-03-08T07:34:04.632+11:00,age,age19,Web,complete,insertValue,2019-03-08T07:34:12.754+11:00,T1,type,Web,complete,insertValue,2019-03-08T07:34:20.515+11:00,confirm,Web,complete,clickButton,2019-03-08T07:34:36.941+11:00,B1,Web,complete,clickButton,2019-03-08T07:34:40.500+11:00,name,name2794,Web,complete,copy,2019-03-08T07:34:42.765+11:00,paste,B,name,name2794,Excel,1,complete,2019-03-08T07:34:44.245+11:00,surname,surname2794,Web,complete,copy,2019-03-08T07:34:47.851+11:00,paste,B,surname,surname2794,Excel,1,complete,2019-03-08T07:34:50.202+11:00,add,Web,complete
828,name,name2469,Web,complete,insertValue,2019-03-08T07:35:10.154+11:00,surname,surname2469,Web,complete,insertValue,2019-03-08T07:35:23.424+11:00,age,age30,Web,complete,insertValue,2019-03-08T07:35:23.424+11:00,T4,type,Web,complete,insertValue,2019-03-08T07:35:25.926+11:00,confirm,Web,complete,clickButton,2019-03-08T07:35:40.569+11:00,B5,Web,complete,clickButton,2019-03-08T07:35:44.873+11:00,TRUE,Australian,Web,complete,insertBoolValue,2019-03-08T07:35:47.286+11:00,Button6,Web,complete,clickButton,2019-03-08T07:35:58.192+11:00,Excel,complete,openFile,Sheet1,2019-03-08T07:36:01.694+11:00,data.xls,copy,B,value384,Excel,53,complete,2019-03-08T07:36:08.908+11:00,Special code,value384,Web,complete,paste,2019-03-08T07:36:11.114+11:00,Country
829,name,name971,Web,complete,insertValue,2019-03-08T07:36:39.631+11:00,surname,surname971,Web,complete,insertValue,2019-03-08T07:36:49.279+11:00,age,age23,Web,complete,insertValue,2019-03-08T07:36:58.179+11:00,T3,type,Web,complete,insertValue,2019-03-08T07:37:06.379+11:00,confirm,Web,complete,clickButton,2019-03-08T07:37:09.207+11:00,B4,Web,complete,clickButton,2019-03-08T07:37:10.747+11:00,Clients,Web,complete,clickButton,2019-03-08T07:37:13.082+11:00,clientID,ID971,Web,complete,insertValue,2019-03-08T07:37:15.349+11:00,Web,complete,pressKey,2019-03-08T07:37:31.324+11:00,enter,update,ID971,Web,complete,clickButton,2019-03-08T07:37:32.666+11:00,address,addA2245addB2185,Web,complete,insertValue,2019-03-08T07:37:35.758+11:00,Country50,country,Web
830,name,name3955,Web,complete,insertValue,2019-03-08T07:38:16.980+11:00,surname,surname3955,Web,complete,insertValue,2019-03-08T07:38:25.150+11:00,age,age28,Web,complete,insertValue,2019-03-08T07:38:25.635+11:00,T1,type,Web,complete,insertValue,2019-03-08T07:38:38.375+11:00,confirm,Web,complete,clickButton,2019-03-08T07:38:38.375+11:00,B1,Web,complete,clickButton,2019-03-08T07:38:40.667+11:00,name,name3955,Web,complete,copy,2019-03-08T07:38:44.458+11:00,paste,B,name,name3955,Excel,1,complete,2019-03-08T07:38:47.406+11:00,surname,surname3955,Web,complete,copy,2019-03-08T07:38:51.962+11:00,paste,B,surname,surname3955,Excel,1,complete,2019-03-08T07:38:54.631+11:00,add,Web,complete
831,name,name2500,Web,complete,insertValue,2019-03-08T07:39:12.318+11:00,surname,surname2500,Web,complete,insertValue,2019-03-08T07:39:12.318+11:00,age,age26,Web,complete,insertValue,2019-03-08T07:39:14.380+11:00,T2,type,Web,complete,insertValue,2019-03-08T07:39:29.507+11:00,confirm,Web,complete,clickButton,2019-03-08T07:39:37.602+11:00,B3,Web,complete,clickButton,2019-03-08T07:39:39.507+11:00,Button6,Web,complete,clickButton,2019-03-08T07:39:42.384+11:00,Excel,complete,openFile,Sheet1,2019-03-08T07:39:46.067+11:00,data.xls,copy,A,value15,Excel,66,complete,2019-03-08T07:39:58.991+11:00,Special code,value15,Web,complete,paste,2019-03-08T07:40:02.190+11:00,OK,Web,complete,clickButton,2019-03-08T07:40:05.813+11:00,,
832,name,name336,Web,complete,insertValue,2019-03-08T07:40:15.813+11:00,surname,surname336,Web,complete,insertValue,2019-03-08T07:40:27.021+11:00,age,age18,Web,complete,insertValue,2019-03-08T07:40:32.584+11:00,T2,type,Web,complete,insertValue,2019-03-08T07:40:34.296+11:00,confirm,Web,complete,clickButton,2019-03-08T07:40:55.305+11:00,B3,Web,complete,clickButton,2019-03-08T07:40:59.936+11:00,Button6,Web,complete,clickButton,2019-03-08T07:41:02.980+11:00,Excel,complete,openFile,Sheet1,2019-03-08T07:41:04.946+11:00,data.xls,copy,A,value150,Excel,38,complete,2019-03-08T07:41:17.961+11:00,Special code,value150,Web,complete,paste,2019-03-08T07:41:21.305+11:00,OK,Web,complete,clickButton,2019-03-08T07:41:23.112+11:00,,
833,name,name372,Web,complete,insertValue,2019-03-08T07:41:33.112+11:00,surname,surname372,Web,complete,insertValue,2019-03-08T07:41:43.989+11:00,age,age41,Web,complete,insertValue,2019-03-08T07:41:43.989+11:00,T3,type,Web,complete,insertValue,2019-03-08T07:42:00.513+11:00,confirm,Web,complete,clickButton,2019-03-08T07:42:08.467+11:00,B4,Web,complete,clickButton,2019-03-08T07:42:12.536+11:00,Clients,Web,complete,clickButton,2019-03-08T07:42:15.981+11:00,clientID,ID372,Web,complete,insertValue,2019-03-08T07:42:18.969+11:00,Web,complete,pressKey,2019-03-08T07:42:22.140+11:00,enter,update,ID372,Web,complete,clickButton,2019-03-08T07:42:25.389+11:00,address,addA1267addB2682,Web,complete,insertValue,2019-03-08T07:42:27.230+11:00,Country176,country,Web
834,name,name1297,Web,complete,insertValue,2019-03-08T07:42:58.102+11:00,surname,surname1297,Web,complete,insertValue,2019-03-08T07:43:00.257+11:00,age,age21,Web,complete,insertValue,2019-03-08T07:43:10.070+11:00,T4,type,Web,complete,insertValue,2019-03-08T07:43:12.223+11:00,confirm,Web,complete,clickButton,2019-03-08T07:43:21.826+11:00,B5,Web,complete,clickButton,2019-03-08T07:43:26.498+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-08T07:43:27.038+11:00,Button6,Web,complete,clickButton,2019-03-08T07:43:35.303+11:00,Excel,complete,openFile,Sheet1,2019-03-08T07:43:38.965+11:00,data.xls,copy,B,value508,Excel,38,complete,2019-03-08T07:43:58.821+11:00,Special code,value508,Web,complete,paste,2019-03-08T07:44:03.032+11:00,Country
835,name,name1463,Web,complete,insertValue,2019-03-08T07:44:33.008+11:00,surname,surname1463,Web,complete,insertValue,2019-03-08T07:44:36.847+11:00,age,age28,Web,complete,insertValue,2019-03-08T07:44:45.006+11:00,T4,type,Web,complete,insertValue,2019-03-08T07:45:00.433+11:00,confirm,Web,complete,clickButton,2019-03-08T07:45:10.129+11:00,B5,Web,complete,clickButton,2019-03-08T07:45:13.487+11:00,TRUE,Australian,Web,complete,insertBoolValue,2019-03-08T07:45:16.401+11:00,Button6,Web,complete,clickButton,2019-03-08T07:45:28.972+11:00,Excel,complete,openFile,Sheet1,2019-03-08T07:45:32.557+11:00,data.xls,copy,B,value757,Excel,6,complete,2019-03-08T07:45:36.340+11:00,Special code,value757,Web,complete,paste,2019-03-08T07:45:39.895+11:00,Country
836,name,name3332,Web,complete,insertValue,2019-03-08T07:46:04.200+11:00,surname,surname3332,Web,complete,insertValue,2019-03-08T07:46:15.006+11:00,age,age50,Web,complete,insertValue,2019-03-08T07:46:27.310+11:00,T2,type,Web,complete,insertValue,2019-03-08T07:46:32.104+11:00,confirm,Web,complete,clickButton,2019-03-08T07:46:46.078+11:00,B2,Web,complete,clickButton,2019-03-08T07:46:50.275+11:00,value1,value3845,Web,complete,insertValue,2019-03-08T07:46:54.374+11:00,code,29,Web,complete,insertValue,2019-03-08T07:46:55.304+11:00,B6,Web,complete,clickButton,2019-03-08T07:47:02.610+11:00,open,Web,complete,clickButton,2019-03-08T07:47:05.400+11:00,code,29,Web,complete,copy,2019-03-08T07:47:09.011+11:00,paste,B,name
837,name,name3083,Web,complete,insertValue,2019-03-08T07:47:32.233+11:00,surname,surname3083,Web,complete,insertValue,2019-03-08T07:47:37.385+11:00,age,age26,Web,complete,insertValue,2019-03-08T07:47:45.867+11:00,T2,type,Web,complete,insertValue,2019-03-08T07:47:50.370+11:00,confirm,Web,complete,clickButton,2019-03-08T07:47:56.248+11:00,B3,Web,complete,clickButton,2019-03-08T07:47:58.473+11:00,Button6,Web,complete,clickButton,2019-03-08T07:48:01.542+11:00,Excel,complete,openFile,Sheet1,2019-03-08T07:48:05.994+11:00,data.xls,copy,A,value253,Excel,73,complete,2019-03-08T07:48:15.643+11:00,Special code,value253,Web,complete,paste,2019-03-08T07:48:18.381+11:00,OK,Web,complete,clickButton,2019-03-08T07:48:21.062+11:00,,
838,name,name506,Web,complete,insertValue,2019-03-08T07:48:31.062+11:00,surname,surname506,Web,complete,insertValue,2019-03-08T07:48:45.190+11:00,age,age29,Web,complete,insertValue,2019-03-08T07:48:45.190+11:00,T4,type,Web,complete,insertValue,2019-03-08T07:48:51.666+11:00,confirm,Web,complete,clickButton,2019-03-08T07:49:03.623+11:00,B5,Web,complete,clickButton,2019-03-08T07:49:06.233+11:00,TRUE,Australian,Web,complete,insertBoolValue,2019-03-08T07:49:09.091+11:00,Button6,Web,complete,clickButton,2019-03-08T07:49:14.407+11:00,Excel,complete,openFile,Sheet1,2019-03-08T07:49:18.535+11:00,data.xls,copy,B,value780,Excel,6,complete,2019-03-08T07:49:29.570+11:00,Special code,value780,Web,complete,paste,2019-03-08T07:49:32.283+11:00,Country
839,name,name2569,Web,complete,insertValue,2019-03-08T07:49:57.632+11:00,surname,surname2569,Web,complete,insertValue,2019-03-08T07:50:09.924+11:00,age,age23,Web,complete,insertValue,2019-03-08T07:50:09.924+11:00,T3,type,Web,complete,insertValue,2019-03-08T07:50:14.004+11:00,confirm,Web,complete,clickButton,2019-03-08T07:50:18.906+11:00,B4,Web,complete,clickButton,2019-03-08T07:50:21.569+11:00,Clients,Web,complete,clickButton,2019-03-08T07:50:22.586+11:00,clientID,ID2569,Web,complete,insertValue,2019-03-08T07:50:25.047+11:00,Web,complete,pressKey,2019-03-08T07:50:26.111+11:00,enter,update,ID2569,Web,complete,clickButton,2019-03-08T07:50:29.947+11:00,address,addA1520addB2992,Web,complete,insertValue,2019-03-08T07:50:33.400+11:00,Country43,country,Web
840,name,name3586,Web,complete,insertValue,2019-03-08T07:51:14.596+11:00,surname,surname3586,Web,complete,insertValue,2019-03-08T07:51:26.248+11:00,age,age23,Web,complete,insertValue,2019-03-08T07:51:35.302+11:00,T4,type,Web,complete,insertValue,2019-03-08T07:51:44.841+11:00,confirm,Web,complete,clickButton,2019-03-08T07:51:54.945+11:00,B5,Web,complete,clickButton,2019-03-08T07:51:56.171+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-08T07:51:59.518+11:00,Button6,Web,complete,clickButton,2019-03-08T07:52:01+11:00,Excel,complete,openFile,Sheet1,2019-03-08T07:52:03.145+11:00,data.xls,copy,B,value44,Excel,92,complete,2019-03-08T07:52:14.619+11:00,Special code,value44,Web,complete,paste,2019-03-08T07:52:18.250+11:00,Country
841,name,name3726,Web,complete,insertValue,2019-03-08T07:52:38.787+11:00,surname,surname3726,Web,complete,insertValue,2019-03-08T07:52:44.225+11:00,age,age38,Web,complete,insertValue,2019-03-08T07:52:45.639+11:00,T4,type,Web,complete,insertValue,2019-03-08T07:52:47.662+11:00,confirm,Web,complete,clickButton,2019-03-08T07:52:56.594+11:00,B5,Web,complete,clickButton,2019-03-08T07:52:59.942+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-08T07:53:02.572+11:00,Button6,Web,complete,clickButton,2019-03-08T07:53:11.801+11:00,Excel,complete,openFile,Sheet1,2019-03-08T07:53:15.009+11:00,data.xls,copy,B,value475,Excel,2,complete,2019-03-08T07:53:19.484+11:00,Special code,value475,Web,complete,paste,2019-03-08T07:53:23.249+11:00,Country
842,name,name1683,Web,complete,insertValue,2019-03-08T07:53:50.772+11:00,surname,surname1683,Web,complete,insertValue,2019-03-08T07:54:00.059+11:00,age,age21,Web,complete,insertValue,2019-03-08T07:54:07.165+11:00,T3,type,Web,complete,insertValue,2019-03-08T07:54:15.468+11:00,confirm,Web,complete,clickButton,2019-03-08T07:54:16.564+11:00,B4,Web,complete,clickButton,2019-03-08T07:54:18.594+11:00,Clients,Web,complete,clickButton,2019-03-08T07:54:22.676+11:00,clientID,ID1683,Web,complete,insertValue,2019-03-08T07:54:25.276+11:00,Web,complete,pressKey,2019-03-08T07:54:32.232+11:00,enter,update,ID1683,Web,complete,clickButton,2019-03-08T07:54:35.154+11:00,address,addA2798addB1897,Web,complete,insertValue,2019-03-08T07:54:37.566+11:00,Country129,country,Web
843,name,name3621,Web,complete,insertValue,2019-03-08T07:55:03.789+11:00,surname,surname3621,Web,complete,insertValue,2019-03-08T07:55:13.641+11:00,age,age28,Web,complete,insertValue,2019-03-08T07:55:20.276+11:00,T4,type,Web,complete,insertValue,2019-03-08T07:55:28.465+11:00,confirm,Web,complete,clickButton,2019-03-08T07:55:30.328+11:00,B5,Web,complete,clickButton,2019-03-08T07:55:33.258+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-08T07:55:34.501+11:00,Button6,Web,complete,clickButton,2019-03-08T07:55:34.501+11:00,Excel,complete,openFile,Sheet1,2019-03-08T07:55:38.107+11:00,data.xls,copy,B,value945,Excel,81,complete,2019-03-08T07:55:49.349+11:00,Special code,value945,Web,complete,paste,2019-03-08T07:55:51.747+11:00,Country
844,name,name399,Web,complete,insertValue,2019-03-08T07:56:28.382+11:00,surname,surname399,Web,complete,insertValue,2019-03-08T07:56:44.179+11:00,age,age20,Web,complete,insertValue,2019-03-08T07:56:59.758+11:00,T4,type,Web,complete,insertValue,2019-03-08T07:57:13.652+11:00,confirm,Web,complete,clickButton,2019-03-08T07:57:25.748+11:00,B5,Web,complete,clickButton,2019-03-08T07:57:28.181+11:00,TRUE,Australian,Web,complete,insertBoolValue,2019-03-08T07:57:29.704+11:00,Button6,Web,complete,clickButton,2019-03-08T07:57:44.040+11:00,Excel,complete,openFile,Sheet1,2019-03-08T07:57:47.175+11:00,data.xls,copy,B,value686,Excel,76,complete,2019-03-08T07:57:53.640+11:00,Special code,value686,Web,complete,paste,2019-03-08T07:57:56.731+11:00,Country
845,name,name1941,Web,complete,insertValue,2019-03-08T07:58:18.895+11:00,surname,surname1941,Web,complete,insertValue,2019-03-08T07:58:30.467+11:00,age,age45,Web,complete,insertValue,2019-03-08T07:58:37.648+11:00,T4,type,Web,complete,insertValue,2019-03-08T07:58:47.351+11:00,confirm,Web,complete,clickButton,2019-03-08T07:58:55.921+11:00,B5,Web,complete,clickButton,2019-03-08T07:58:56.537+11:00,TRUE,Australian,Web,complete,insertBoolValue,2019-03-08T07:58:58.980+11:00,Button6,Web,complete,clickButton,2019-03-08T07:59:06.981+11:00,Excel,complete,openFile,Sheet1,2019-03-08T07:59:10.239+11:00,data.xls,copy,B,value226,Excel,95,complete,2019-03-08T07:59:17.891+11:00,Special code,value226,Web,complete,paste,2019-03-08T07:59:19.238+11:00,Country
846,name,name599,Web,complete,insertValue,2019-03-08T07:59:52.208+11:00,surname,surname599,Web,complete,insertValue,2019-03-08T07:59:57.985+11:00,age,age45,Web,complete,insertValue,2019-03-08T08:00:05.489+11:00,T1,type,Web,complete,insertValue,2019-03-08T08:00:11.655+11:00,confirm,Web,complete,clickButton,2019-03-08T08:00:23.899+11:00,B1,Web,complete,clickButton,2019-03-08T08:00:26.526+11:00,name,name599,Web,complete,copy,2019-03-08T08:00:26.921+11:00,paste,B,name,name599,Excel,1,complete,2019-03-08T08:00:31.270+11:00,surname,surname599,Web,complete,copy,2019-03-08T08:00:34.388+11:00,paste,B,surname,surname599,Excel,1,complete,2019-03-08T08:00:36.651+11:00,add,Web,complete
847,name,name3149,Web,complete,insertValue,2019-03-08T08:00:52.645+11:00,surname,surname3149,Web,complete,insertValue,2019-03-08T08:00:58.781+11:00,age,age22,Web,complete,insertValue,2019-03-08T08:01:06.891+11:00,T4,type,Web,complete,insertValue,2019-03-08T08:01:16.814+11:00,confirm,Web,complete,clickButton,2019-03-08T08:01:25.688+11:00,B5,Web,complete,clickButton,2019-03-08T08:01:29.069+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-08T08:01:32.818+11:00,Button6,Web,complete,clickButton,2019-03-08T08:01:40.004+11:00,Excel,complete,openFile,Sheet1,2019-03-08T08:01:42.092+11:00,data.xls,copy,B,value304,Excel,82,complete,2019-03-08T08:01:50.860+11:00,Special code,value304,Web,complete,paste,2019-03-08T08:01:54.554+11:00,Country
848,name,name2382,Web,complete,insertValue,2019-03-08T08:02:28.744+11:00,surname,surname2382,Web,complete,insertValue,2019-03-08T08:02:29.314+11:00,age,age27,Web,complete,insertValue,2019-03-08T08:02:37.534+11:00,T4,type,Web,complete,insertValue,2019-03-08T08:02:46.745+11:00,confirm,Web,complete,clickButton,2019-03-08T08:02:51.279+11:00,B5,Web,complete,clickButton,2019-03-08T08:02:54.211+11:00,TRUE,Australian,Web,complete,insertBoolValue,2019-03-08T08:02:59.047+11:00,Button6,Web,complete,clickButton,2019-03-08T08:03:08.379+11:00,Excel,complete,openFile,Sheet1,2019-03-08T08:03:10.234+11:00,data.xls,copy,B,value61,Excel,2,complete,2019-03-08T08:03:17.098+11:00,Special code,value61,Web,complete,paste,2019-03-08T08:03:21.185+11:00,Country
849,name,name3822,Web,complete,insertValue,2019-03-08T08:03:52.095+11:00,surname,surname3822,Web,complete,insertValue,2019-03-08T08:04:00.039+11:00,age,age21,Web,complete,insertValue,2019-03-08T08:04:08.347+11:00,T2,type,Web,complete,insertValue,2019-03-08T08:04:19.925+11:00,confirm,Web,complete,clickButton,2019-03-08T08:04:25.262+11:00,B3,Web,complete,clickButton,2019-03-08T08:04:29.471+11:00,Button6,Web,complete,clickButton,2019-03-08T08:04:32.028+11:00,Excel,complete,openFile,Sheet1,2019-03-08T08:04:34.481+11:00,data.xls,copy,A,value865,Excel,75,complete,2019-03-08T08:04:53.316+11:00,Special code,value865,Web,complete,paste,2019-03-08T08:04:55.738+11:00,OK,Web,complete,clickButton,2019-03-08T08:04:59.750+11:00,,
850,name,name507,Web,complete,insertValue,2019-03-08T08:05:09.750+11:00,surname,surname507,Web,complete,insertValue,2019-03-08T08:05:22.063+11:00,age,age19,Web,complete,insertValue,2019-03-08T08:05:29.615+11:00,T2,type,Web,complete,insertValue,2019-03-08T08:05:46.541+11:00,confirm,Web,complete,clickButton,2019-03-08T08:05:50.977+11:00,B3,Web,complete,clickButton,2019-03-08T08:05:52.914+11:00,Button6,Web,complete,clickButton,2019-03-08T08:05:56.208+11:00,Excel,complete,openFile,Sheet1,2019-03-08T08:05:57.983+11:00,data.xls,copy,A,value491,Excel,44,complete,2019-03-08T08:06:09.016+11:00,Special code,value491,Web,complete,paste,2019-03-08T08:06:11.685+11:00,OK,Web,complete,clickButton,2019-03-08T08:06:15.545+11:00,,
851,name,name1047,Web,complete,insertValue,2019-03-08T08:06:25.545+11:00,surname,surname1047,Web,complete,insertValue,2019-03-08T08:06:36.564+11:00,age,age19,Web,complete,insertValue,2019-03-08T08:06:39.073+11:00,T4,type,Web,complete,insertValue,2019-03-08T08:06:46.007+11:00,confirm,Web,complete,clickButton,2019-03-08T08:06:54.156+11:00,B5,Web,complete,clickButton,2019-03-08T08:06:57.023+11:00,TRUE,Australian,Web,complete,insertBoolValue,2019-03-08T08:06:58.878+11:00,Button6,Web,complete,clickButton,2019-03-08T08:07:10.807+11:00,Excel,complete,openFile,Sheet1,2019-03-08T08:07:13.271+11:00,data.xls,copy,B,value45,Excel,63,complete,2019-03-08T08:07:25.541+11:00,Special code,value45,Web,complete,paste,2019-03-08T08:07:28.825+11:00,Country
